# 1S0 GAP DATA FOR N3LO BCS
# Tc is defined as half-way between non-zero and zero gap
# kf [fm-1]   gap0 [MeV]  Tc [MeV]  d_Tc
0.3           0.80     	  0.45	    0.05
0.4           1.34	      0.80	    0.10
0.5           1.88  	    1.05	    0.05
0.6   	      2.38	      1.35	    0.05
0.7	          2.74	      1.55	    0.05
0.8    	      2.93	      1.65	    0.05
0.9  	        2.93 	      1.65	    0.05
1.0   	      2.71	      1.55      0.05
1.05  	      2.53	      1.45	    0.05
1.10  	      2.30	      1.30	    0.10
1.15	        2.04	      1.20      0.10
1.20  	      1.74	      1.00      0.10
1.25  	      1.43	      0.85      0.05
1.30  	      1.12	      0.65      0.05
1.35          0.81    	  0.45	    0.05
1.40          0.53 	      0.30	    0.10
