
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    1.158439E-02    1.000000E-04    7.000000E-01    2.741343E+00
    1.158439E-02    1.001000E-01    7.000000E-01    2.741343E+00
    1.158439E-02    2.001000E-01    7.000000E-01    2.741341E+00
    1.158439E-02    3.001000E-01    7.000000E-01    2.741097E+00
    1.158439E-02    4.001000E-01    7.000000E-01    2.738542E+00
    1.158439E-02    5.001000E-01    7.000000E-01    2.728818E+00
    1.158439E-02    6.001000E-01    7.000000E-01    2.706190E+00
    1.158439E-02    7.001000E-01    7.000000E-01    2.665506E+00
    1.158439E-02    8.001000E-01    7.000000E-01    2.602253E+00
    1.158439E-02    9.001000E-01    7.000000E-01    2.511986E+00
    1.158439E-02    1.000100E+00    7.000000E-01    2.389546E+00
    1.158439E-02    1.100100E+00    7.000000E-01    2.227960E+00
    1.158439E-02    1.200100E+00    7.000000E-01    2.016425E+00
    1.158439E-02    1.300100E+00    7.000000E-01    1.735500E+00
    1.158439E-02    1.400100E+00    7.000000E-01    1.340979E+00
    1.158439E-02    1.500100E+00    7.000000E-01    6.495733E-01
    1.158439E-02    1.600100E+00    7.000000E-01    4.483002E-06
    1.158439E-02    1.700100E+00    7.000000E-01    1.929673E-06
    1.158439E-02    1.800100E+00    7.000000E-01    1.246169E-06
    1.158439E-02    1.900100E+00    7.000000E-01    9.335625E-07
