# 1S0 GAP DATA FOR N3LO HF+BCS CONSISTENTLY
# Tc is defined as half-way between non-zero and zero gap
# kf [fm-1]   gap0 [MeV]  Tc [MeV]  d_Tc
0.3           0.79     	  0.45	    0.05
0.4           1.31	      0.75	    0.05
0.5           1.82  	    1.05	    0.05
0.6   	      2.26	      1.25	    0.05
0.7	      2.56	      1.45	    0.05
0.8    	      2.67	      1.50	    0.10
0.9  	      2.56 	      1.45	    0.05
1.0   	      2.23	      1.25          0.05
1.05	      2.00	      1.15	    0.05
1.10  	      1.73	      0.95	    0.05
1.15	      1.43	      0.85          0.05
1.20  	      1.13	      0.65          0.05
1.25  	      0.83	      0.45          0.05
1.30  	      0.56	      0.35          0.05
1.35          0.31    	      0.15	    0.05
