
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    2.462105E-02    1.000000E-01    9.000000E-01    2.557145E+00
    2.462105E-02    2.000000E-01    9.000000E-01    2.557139E+00
    2.462105E-02    3.000000E-01    9.000000E-01    2.556702E+00
    2.462105E-02    4.000000E-01    9.000000E-01    2.552836E+00
    2.462105E-02    5.000000E-01    9.000000E-01    2.539593E+00
    2.462105E-02    6.000000E-01    9.000000E-01    2.510703E+00
    2.462105E-02    7.000000E-01    9.000000E-01    2.460829E+00
    2.462105E-02    8.000000E-01    9.000000E-01    2.385237E+00
    2.462105E-02    9.000000E-01    9.000000E-01    2.278950E+00
    2.462105E-02    1.000000E+00    9.000000E-01    2.135644E+00
    2.462105E-02    1.100000E+00    9.000000E-01    1.945853E+00
    2.462105E-02    1.200000E+00    9.000000E-01    1.693004E+00
    2.462105E-02    1.300000E+00    9.000000E-01    1.341063E+00
    2.462105E-02    1.400000E+00    9.000000E-01    7.625563E-01
    2.462105E-02    1.500000E+00    9.000000E-01    5.628119E-06
