# 1S0 GAP DATA FOR N3LO HF+BCS CONSISTENTLY
# Tc is defined as half-way between non-zero and zero gap
# kf [fm-1]   gap0 [MeV]  Tc [MeV]  d_Tc
0.3            0.79           0.45	    0.05
0.4            1.31	      0.75	    0.05
0.5            1.81           1.05	    0.05
0.6	       2.23	      1.25	    0.05
0.7  	       2.50	      1.40	    0.10
0.8 	       2.54	      1.45	    0.05
0.85 	       2.47	      1.45	    0.05
0.9  	       2.34 	      1.35	    0.05
0.95  	       2.15 	      1.25	    0.05
1.00	       1.90	      1.05      0.05
1.05	       1.60	      0.95	    0.05
1.10           1.26	      0.75	    0.05
1.15	       0.93	      0.55      0.05
1.20	       0.61	      0.35      0.05
#1.25	      0.83	  0.45  0.05
#1.3	      0.56	  0.35  0.05
#1.35          0.31	  0.15  0.05
