
#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    7.295125E-03    1.000000E-01    6.000000E-01    2.233628E+00
    7.295125E-03    2.000000E-01    6.000000E-01    2.231114E+00
    7.295125E-03    3.000000E-01    6.000000E-01    2.229952E+00
    7.295125E-03    4.000000E-01    6.000000E-01    2.222146E+00
    7.295125E-03    5.000000E-01    6.000000E-01    2.199335E+00
    7.295125E-03    6.000000E-01    6.000000E-01    2.153863E+00
    7.295125E-03    7.000000E-01    6.000000E-01    2.079051E+00
    7.295125E-03    8.000000E-01    6.000000E-01    1.967835E+00
    7.295125E-03    9.000000E-01    6.000000E-01    1.810694E+00
    7.295125E-03    1.000000E+00    6.000000E-01    1.591728E+00
    7.295125E-03    1.100000E+00    6.000000E-01    1.277306E+00

#   rho [fm-3]      T [MeV]      kf [fm-1]      Gap(kf) [MeV]
    7.295125E-03    1.100000E+00    6.000000E-01    1.279621E+00
    7.295125E-03    1.200000E+00    6.000000E-01    7.534381E-01
    7.295125E-03    1.300000E+00    6.000000E-01    5.469199E-06
