#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.00000
    0.638873E+00    0.137271E+02    0.364244E-01   -0.674040E+01    0.120388E+02
    0.334081E+01    0.137206E+02    0.364415E-01   -0.673309E+01    0.120315E+02
    0.809926E+01    0.136891E+02    0.365254E-01   -0.669777E+01    0.119962E+02
    0.147433E+02    0.136009E+02    0.367624E-01   -0.660004E+01    0.118985E+02
    0.230330E+02    0.134197E+02    0.372588E-01   -0.639908E+01    0.116975E+02
    0.326688E+02    0.131024E+02    0.381611E-01   -0.605902E+01    0.113575E+02
    0.433023E+02    0.126422E+02    0.395501E-01   -0.555814E+01    0.108566E+02
    0.545493E+02    0.120186E+02    0.416021E-01   -0.489382E+01    0.101923E+02
    0.660033E+02    0.112347E+02    0.445050E-01   -0.408237E+01    0.938080E+01
    0.772504E+02    0.102996E+02    0.485456E-01   -0.316531E+01    0.846375E+01
    0.878839E+02    0.927183E+01    0.539268E-01   -0.220085E+01    0.749928E+01
    0.975196E+02    0.825595E+01    0.605624E-01   -0.125089E+01    0.654932E+01
    0.105809E+03    0.729306E+01    0.685583E-01   -0.378334E+00    0.567677E+01
    0.112453E+03    0.648537E+01    0.770966E-01    0.358274E+00    0.494016E+01
    0.117212E+03    0.585990E+01    0.853256E-01    0.906611E+00    0.439182E+01
    0.119914E+03    0.547686E+01    0.912932E-01    0.122594E+01    0.407250E+01
    0.120625E+03    0.537255E+01    0.930657E-01    0.131095E+01    0.398748E+01
    0.120932E+03    0.532769E+01    0.938493E-01    0.134777E+01    0.395066E+01
    0.121479E+03    0.524708E+01    0.952911E-01    0.141357E+01    0.388486E+01
    0.122256E+03    0.513092E+01    0.974483E-01    0.150760E+01    0.379083E+01
    0.123253E+03    0.497709E+01    0.100460E+00    0.162876E+01    0.366968E+01
    0.124451E+03    0.480117E+01    0.104141E+00    0.177557E+01    0.352286E+01
    0.125831E+03    0.461870E+01    0.108256E+00    0.194623E+01    0.335221E+01
    0.127371E+03    0.441330E+01    0.113294E+00    0.213853E+01    0.315991E+01
    0.129046E+03    0.418823E+01    0.119382E+00    0.234993E+01    0.294850E+01
    0.130827E+03    0.394514E+01    0.126738E+00    0.257755E+01    0.272089E+01
    0.132686E+03    0.368481E+01    0.135692E+00    0.281814E+01    0.248029E+01
    0.134592E+03    0.340778E+01    0.146723E+00    0.306815E+01    0.223029E+01
    0.136514E+03    0.311496E+01    0.160516E+00    0.332368E+01    0.197475E+01
    0.138419E+03    0.280576E+01    0.178205E+00    0.358058E+01    0.171785E+01
    0.140278E+03    0.248227E+01    0.201428E+00    0.383447E+01    0.146397E+01
    0.142060E+03    0.215029E+01    0.232527E+00    0.408085E+01    0.121759E+01
    0.143734E+03    0.180224E+01    0.277432E+00    0.431522E+01    0.983218E+00
    0.145274E+03    0.145396E+01    0.343889E+00    0.453319E+01    0.765241E+00
    0.146655E+03    0.110049E+01    0.454343E+00    0.473058E+01    0.567858E+00
    0.147853E+03    0.764723E+00    0.653832E+00    0.490345E+01    0.394984E+00
    0.148849E+03    0.468431E+00    0.106739E+01    0.504830E+01    0.250131E+00
    0.149627E+03    0.246044E+00    0.203216E+01    0.516213E+01    0.136308E+00
    0.150174E+03    0.958184E-01    0.521820E+01    0.524252E+01    0.559173E-01
    0.150480E+03    0.177323E-01    0.281971E+02    0.528777E+01    0.106630E-01
    0.150625E+03    0.206380E-01    0.242271E+02    0.530910E+01    0.106630E-01
    0.150932E+03    0.100222E+00    0.498894E+01    0.535450E+01    0.560632E-01
    0.151479E+03    0.252557E+00    0.197975E+01    0.543564E+01    0.137206E+00
    0.152256E+03    0.475505E+00    0.105151E+01    0.555162E+01    0.253188E+00
    0.153253E+03    0.775623E+00    0.644643E+00    0.570110E+01    0.402666E+00
    0.154451E+03    0.110813E+01    0.451212E+00    0.588230E+01    0.583866E+00
    0.155831E+03    0.145823E+01    0.342883E+00    0.609301E+01    0.794572E+00
    0.157371E+03    0.180918E+01    0.276368E+00    0.633054E+01    0.103211E+01
    0.159046E+03    0.217781E+01    0.229589E+00    0.659178E+01    0.129334E+01
    0.160827E+03    0.253315E+01    0.197382E+00    0.687315E+01    0.157472E+01
    0.162686E+03    0.288051E+01    0.173580E+00    0.717067E+01    0.187223E+01
    0.164592E+03    0.321808E+01    0.155372E+00    0.747994E+01    0.218151E+01
    0.166514E+03    0.354701E+01    0.140964E+00    0.779620E+01    0.249776E+01
    0.168419E+03    0.386292E+01    0.129436E+00    0.811434E+01    0.281590E+01
