#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.40000
    0.638873E+00    0.137247E+02    0.364306E-01   -0.674248E+01    0.122015E+02
    0.334081E+01    0.137187E+02    0.364467E-01   -0.673571E+01    0.121947E+02
    0.809926E+01    0.136883E+02    0.365277E-01   -0.670002E+01    0.121590E+02
    0.147433E+02    0.136028E+02    0.367571E-01   -0.659982E+01    0.120588E+02
    0.230330E+02    0.134246E+02    0.372452E-01   -0.639410E+01    0.118531E+02
    0.326688E+02    0.131183E+02    0.381148E-01   -0.604580E+01    0.115048E+02
    0.433023E+02    0.126561E+02    0.395065E-01   -0.553155E+01    0.109906E+02
    0.545493E+02    0.120245E+02    0.415817E-01   -0.484880E+01    0.103078E+02
    0.660033E+02    0.112288E+02    0.445284E-01   -0.401872E+01    0.947774E+01
    0.772504E+02    0.102983E+02    0.485515E-01   -0.308952E+01    0.854854E+01
    0.878839E+02    0.928501E+01    0.538502E-01   -0.212044E+01    0.757946E+01
    0.975196E+02    0.825346E+01    0.605807E-01   -0.117120E+01    0.663021E+01
    0.105809E+03    0.727900E+01    0.686907E-01   -0.301712E+00    0.576073E+01
    0.112453E+03    0.644033E+01    0.776358E-01    0.431075E+00    0.502798E+01
    0.117212E+03    0.580895E+01    0.860740E-01    0.976217E+00    0.448292E+01
    0.119914E+03    0.543917E+01    0.919257E-01    0.129357E+01    0.416570E+01
    0.120625E+03    0.534042E+01    0.936256E-01    0.137805E+01    0.408127E+01
    0.120932E+03    0.529764E+01    0.943817E-01    0.141463E+01    0.404471E+01
    0.121479E+03    0.522133E+01    0.957610E-01    0.148001E+01    0.397939E+01
    0.122256E+03    0.511206E+01    0.978080E-01    0.157342E+01    0.388607E+01
    0.123253E+03    0.497110E+01    0.100581E+00    0.169377E+01    0.376586E+01
    0.124451E+03    0.480037E+01    0.104159E+00    0.183959E+01    0.362027E+01
    0.125831E+03    0.460189E+01    0.108651E+00    0.200907E+01    0.345118E+01
    0.127371E+03    0.437816E+01    0.114203E+00    0.220003E+01    0.326087E+01
    0.129046E+03    0.413285E+01    0.120982E+00    0.240994E+01    0.305206E+01
    0.130827E+03    0.386986E+01    0.129204E+00    0.263592E+01    0.282796E+01
    0.132686E+03    0.359397E+01    0.139122E+00    0.287476E+01    0.259235E+01
    0.134592E+03    0.331087E+01    0.151018E+00    0.312291E+01    0.234973E+01
    0.136514E+03    0.302727E+01    0.165165E+00    0.337652E+01    0.210545E+01
    0.138419E+03    0.275086E+01    0.181761E+00    0.363144E+01    0.186587E+01
    0.140278E+03    0.249010E+01    0.200795E+00    0.388332E+01    0.163825E+01
    0.142060E+03    0.225360E+01    0.221868E+00    0.412771E+01    0.143033E+01
    0.143734E+03    0.204904E+01    0.244017E+00    0.436015E+01    0.124942E+01
    0.145274E+03    0.188185E+01    0.265697E+00    0.457629E+01    0.110104E+01
    0.146655E+03    0.175402E+01    0.285060E+00    0.477201E+01    0.987623E+00
    0.147853E+03    0.166388E+01    0.300502E+00    0.494341E+01    0.907819E+00
    0.148849E+03    0.160533E+01    0.311462E+00    0.508703E+01    0.856842E+00
    0.149627E+03    0.157293E+01    0.317878E+00    0.519988E+01    0.827785E+00
    0.150174E+03    0.155656E+01    0.321221E+00    0.527959E+01    0.813369E+00
    0.150480E+03    0.155051E+01    0.322474E+00    0.532446E+01    0.807530E+00
    0.150625E+03    0.154899E+01    0.322791E+00    0.534561E+01    0.805352E+00
    0.150932E+03    0.155233E+01    0.322096E+00    0.539062E+01    0.801948E+00
    0.151479E+03    0.141129E+01    0.354285E+00    0.547108E+01    0.800061E+00
    0.152256E+03    0.152137E+01    0.328651E+00    0.558608E+01    0.806716E+00
    0.153253E+03    0.154618E+01    0.323378E+00    0.573430E+01    0.831328E+00
    0.154451E+03    0.159882E+01    0.312731E+00    0.591398E+01    0.884442E+00
    0.155831E+03    0.168996E+01    0.295866E+00    0.612293E+01    0.975743E+00
    0.157371E+03    0.182879E+01    0.273404E+00    0.635850E+01    0.111174E+01
    0.159046E+03    0.201892E+01    0.247658E+00    0.661759E+01    0.129401E+01
    0.160827E+03    0.225792E+01    0.221443E+00    0.689669E+01    0.151893E+01
    0.162686E+03    0.253856E+01    0.196962E+00    0.719187E+01    0.177900E+01
    0.164592E+03    0.285083E+01    0.175388E+00    0.749881E+01    0.206483E+01
    0.166514E+03    0.318374E+01    0.157048E+00    0.781280E+01    0.236691E+01
    0.168419E+03    0.352673E+01    0.141774E+00    0.812878E+01    0.267652E+01
    0.170278E+03    0.387057E+01    0.129180E+00    0.844143E+01    0.298586E+01
    0.172060E+03    0.420654E+01    0.118863E+00    0.874519E+01    0.328796E+01
    0.173734E+03    0.452711E+01    0.110446E+00    0.903451E+01    0.357643E+01
    0.175274E+03    0.482544E+01    0.103617E+00    0.930388E+01    0.384538E+01
    0.176655E+03    0.509537E+01    0.981283E-01    0.954803E+01    0.408931E+01
    0.177853E+03    0.533144E+01    0.937833E-01    0.976203E+01    0.430320E+01
    0.178849E+03    0.552892E+01    0.904336E-01    0.994145E+01    0.448256E+01
    0.179627E+03    0.568403E+01    0.879658E-01    0.100825E+02    0.462358E+01
