#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.03000 temp=   0.00000
    0.846253E+00    0.212575E+02    0.235211E-01   -0.112836E+02    0.190463E+02
    0.442525E+01    0.212464E+02    0.235334E-01   -0.112720E+02    0.190347E+02
    0.107283E+02    0.211907E+02    0.235952E-01   -0.112113E+02    0.189740E+02
    0.195291E+02    0.210347E+02    0.237703E-01   -0.110385E+02    0.188013E+02
    0.305096E+02    0.207084E+02    0.241448E-01   -0.106729E+02    0.184356E+02
    0.432731E+02    0.201555E+02    0.248071E-01   -0.100485E+02    0.178112E+02
    0.573584E+02    0.193216E+02    0.258777E-01   -0.914566E+01    0.169084E+02
    0.722562E+02    0.182193E+02    0.274435E-01   -0.797464E+01    0.157373E+02
    0.874282E+02    0.168170E+02    0.297319E-01   -0.655600E+01    0.143187E+02
    0.102326E+03    0.151802E+02    0.329377E-01   -0.495229E+01    0.127150E+02
    0.116411E+03    0.133977E+02    0.373200E-01   -0.326794E+01    0.110307E+02
    0.129175E+03    0.116067E+02    0.430787E-01   -0.161878E+01    0.938148E+01
    0.140155E+03    0.989609E+01    0.505250E-01   -0.115281E+00    0.787799E+01
    0.148956E+03    0.844620E+01    0.591982E-01    0.114588E+01    0.661682E+01
    0.155259E+03    0.732764E+01    0.682348E-01    0.208266E+01    0.568005E+01
    0.158838E+03    0.667352E+01    0.749230E-01    0.262743E+01    0.513528E+01
    0.159757E+03    0.651038E+01    0.768004E-01    0.276874E+01    0.499396E+01
    0.160064E+03    0.645534E+01    0.774553E-01    0.281610E+01    0.494661E+01
    0.160610E+03    0.635694E+01    0.786542E-01    0.290065E+01    0.486206E+01
    0.161388E+03    0.621669E+01    0.804287E-01    0.302132E+01    0.474138E+01
    0.162384E+03    0.603469E+01    0.828543E-01    0.317653E+01    0.458618E+01
    0.163583E+03    0.581359E+01    0.860054E-01    0.336421E+01    0.439850E+01
    0.164963E+03    0.555516E+01    0.900064E-01    0.358182E+01    0.418089E+01
    0.166503E+03    0.526176E+01    0.950252E-01    0.382636E+01    0.393635E+01
    0.168178E+03    0.493637E+01    0.101289E+00    0.409437E+01    0.366834E+01
    0.169959E+03    0.458366E+01    0.109083E+00    0.438198E+01    0.338073E+01
    0.171818E+03    0.420827E+01    0.118814E+00    0.468496E+01    0.307775E+01
    0.173724E+03    0.381509E+01    0.131059E+00    0.499869E+01    0.276401E+01
    0.175645E+03    0.340568E+01    0.146813E+00    0.531828E+01    0.244443E+01
    0.177551E+03    0.298718E+01    0.167382E+00    0.563857E+01    0.212414E+01
    0.179410E+03    0.256681E+01    0.194795E+00    0.595427E+01    0.180844E+01
    0.181191E+03    0.215188E+01    0.232355E+00    0.625998E+01    0.150273E+01
    0.182866E+03    0.174956E+01    0.285786E+00    0.655029E+01    0.121242E+01
    0.184406E+03    0.136982E+01    0.365010E+00    0.681987E+01    0.942838E+00
    0.185786E+03    0.102225E+01    0.489115E+00    0.706361E+01    0.699101E+00
    0.186984E+03    0.714558E+00    0.699733E+00    0.727678E+01    0.485930E+00
    0.187981E+03    0.454308E+00    0.110057E+01    0.745517E+01    0.307538E+00
