#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.08000 temp=   0.10000
    0.123500E+01    0.416858E+02    0.119945E-01   -0.234747E+02    0.368051E+02
    0.645811E+01    0.416619E+02    0.120014E-01   -0.234561E+02    0.367865E+02
    0.156566E+02    0.415437E+02    0.120355E-01   -0.233470E+02    0.366774E+02
    0.285002E+02    0.412141E+02    0.121318E-01   -0.230425E+02    0.363729E+02
    0.445250E+02    0.405372E+02    0.123343E-01   -0.223676E+02    0.356980E+02
    0.631518E+02    0.393813E+02    0.126964E-01   -0.211835E+02    0.345139E+02
    0.837074E+02    0.376373E+02    0.132847E-01   -0.194010E+02    0.327314E+02
    0.105449E+03    0.352528E+02    0.141833E-01   -0.169689E+02    0.302993E+02
    0.127591E+03    0.322486E+02    0.155046E-01   -0.139767E+02    0.273071E+02
    0.149332E+03    0.287208E+02    0.174090E-01   -0.106341E+02    0.239646E+02
    0.169888E+03    0.248499E+02    0.201208E-01   -0.717171E+01    0.205021E+02
    0.188515E+03    0.208810E+02    0.239452E-01   -0.373914E+01    0.170696E+02
    0.204539E+03    0.171059E+02    0.292296E-01   -0.527305E+00    0.138577E+02
    0.217383E+03    0.138337E+02    0.361436E-01    0.222745E+01    0.111030E+02
    0.226582E+03    0.113495E+02    0.440549E-01    0.430373E+01    0.902669E+01
    0.231805E+03    0.988403E+01    0.505866E-01    0.552071E+01    0.780970E+01
    0.233112E+03    0.951103E+01    0.525705E-01    0.582934E+01    0.750107E+01
    0.233419E+03    0.942308E+01    0.530612E-01    0.590203E+01    0.742839E+01
    0.233966E+03    0.926600E+01    0.539607E-01    0.603176E+01    0.729866E+01
    0.234743E+03    0.904181E+01    0.552987E-01    0.621678E+01    0.711364E+01
    0.235740E+03    0.875327E+01    0.571215E-01    0.645454E+01    0.687588E+01
    0.236938E+03    0.840412E+01    0.594946E-01    0.674171E+01    0.658871E+01
    0.238318E+03    0.799905E+01    0.625074E-01    0.707421E+01    0.625621E+01
    0.239858E+03    0.754333E+01    0.662837E-01    0.744723E+01    0.588318E+01
    0.241533E+03    0.704362E+01    0.709862E-01    0.785528E+01    0.547513E+01
    0.243314E+03    0.650640E+01    0.768475E-01    0.829219E+01    0.503822E+01
    0.245173E+03    0.594149E+01    0.841540E-01    0.875122E+01    0.457920E+01
    0.247079E+03    0.535611E+01    0.933514E-01    0.922512E+01    0.410530E+01
    0.249001E+03    0.475890E+01    0.105066E+00    0.970628E+01    0.362414E+01
    0.250906E+03    0.416001E+01    0.120192E+00    0.101868E+02    0.314358E+01
    0.252765E+03    0.356971E+01    0.140067E+00    0.106588E+02    0.267164E+01
    0.254547E+03    0.299820E+01    0.166766E+00    0.111141E+02    0.221631E+01
    0.256221E+03    0.245583E+01    0.203597E+00    0.115449E+02    0.178548E+01
    0.257761E+03    0.195284E+01    0.256038E+00    0.119437E+02    0.138676E+01
    0.259142E+03    0.150034E+01    0.333258E+00    0.123031E+02    0.102738E+01
    0.260340E+03    0.111341E+01    0.449071E+00    0.126167E+02    0.714836E+00
    0.261336E+03    0.815487E+00    0.613131E+00    0.128786E+02    0.461758E+00
    0.262114E+03    0.639294E+00    0.782112E+00    0.130839E+02    0.292322E+00
    0.262661E+03    0.505110E+00    0.989884E+00    0.132286E+02    0.216995E+00
    0.262968E+03    0.549370E+00    0.910134E+00    0.133099E+02    0.200700E+00
    0.263112E+03    0.331871E+00    0.150661E+01    0.133482E+02    0.200528E+00
    0.263419E+03    0.489253E+00    0.102197E+01    0.134297E+02    0.216173E+00
    0.263966E+03    0.613932E+00    0.814423E+00    0.135752E+02    0.291129E+00
    0.264743E+03    0.789839E+00    0.633040E+00    0.137827E+02    0.462239E+00
    0.265740E+03    0.108551E+01    0.460612E+00    0.140495E+02    0.720162E+00
    0.266938E+03    0.147370E+01    0.339282E+00    0.143718E+02    0.104149E+01
    0.268318E+03    0.193179E+01    0.258827E+00    0.147453E+02    0.141489E+01
    0.269858E+03    0.244651E+01    0.204373E+00    0.151646E+02    0.183421E+01
    0.271533E+03    0.300843E+01    0.166200E+00    0.156238E+02    0.229341E+01
    0.273314E+03    0.360866E+01    0.138556E+00    0.161162E+02    0.278578E+01
    0.275173E+03    0.423777E+01    0.117987E+00    0.166344E+02    0.330395E+01
    0.277079E+03    0.488587E+01    0.102336E+00    0.171704E+02    0.383995E+01
    0.279001E+03    0.554221E+01    0.902167E-01    0.177157E+02    0.438533E+01
    0.280906E+03    0.619533E+01    0.807059E-01    0.182616E+02    0.493123E+01
    0.282765E+03    0.683796E+01    0.731212E-01    0.187989E+02    0.546852E+01
    0.284547E+03    0.745542E+01    0.670653E-01    0.193183E+02    0.598793E+01
    0.286221E+03    0.803917E+01    0.621955E-01    0.198107E+02    0.648025E+01
    0.287761E+03    0.857940E+01    0.582792E-01    0.202670E+02    0.693659E+01
    0.289142E+03    0.906363E+01    0.551655E-01    0.206789E+02    0.734852E+01
    0.290340E+03    0.948655E+01    0.527062E-01    0.210387E+02    0.770827E+01
    0.291336E+03    0.983908E+01    0.508178E-01    0.213394E+02    0.800896E+01
    0.292114E+03    0.101153E+02    0.494300E-01    0.215752E+02    0.824477E+01
    0.292661E+03    0.103099E+02    0.484971E-01    0.217415E+02    0.841105E+01
