#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.00000
    0.638873E+00    0.135456E+02    0.369122E-01   -0.669043E+01    0.120641E+02
    0.334081E+01    0.135396E+02    0.369288E-01   -0.668335E+01    0.120570E+02
    0.809926E+01    0.135094E+02    0.370113E-01   -0.664806E+01    0.120217E+02
    0.147433E+02    0.134247E+02    0.372449E-01   -0.654982E+01    0.119234E+02
    0.230330E+02    0.132480E+02    0.377416E-01   -0.634702E+01    0.117206E+02
    0.326688E+02    0.129439E+02    0.386281E-01   -0.600295E+01    0.113766E+02
    0.433023E+02    0.124848E+02    0.400486E-01   -0.549539E+01    0.108690E+02
    0.545493E+02    0.118580E+02    0.421655E-01   -0.482125E+01    0.101949E+02
    0.660033E+02    0.110678E+02    0.451760E-01   -0.399917E+01    0.937280E+01
    0.772504E+02    0.101424E+02    0.492978E-01   -0.307470E+01    0.844833E+01
    0.878839E+02    0.913532E+01    0.547326E-01   -0.210712E+01    0.748074E+01
    0.975196E+02    0.810976E+01    0.616541E-01   -0.115696E+01    0.653058E+01
    0.105809E+03    0.713914E+01    0.700365E-01   -0.285595E+00    0.565922E+01
    0.112453E+03    0.630142E+01    0.793472E-01    0.449561E+00    0.492406E+01
    0.117212E+03    0.567323E+01    0.881332E-01    0.996475E+00    0.437715E+01
    0.119914E+03    0.530527E+01    0.942458E-01    0.131487E+01    0.405875E+01
    0.120625E+03    0.520658E+01    0.960324E-01    0.139964E+01    0.397399E+01
    0.120932E+03    0.516416E+01    0.968211E-01    0.143634E+01    0.393728E+01
    0.121479E+03    0.508811E+01    0.982683E-01    0.150195E+01    0.387168E+01
    0.122256E+03    0.497797E+01    0.100443E+00    0.159569E+01    0.377794E+01
    0.123253E+03    0.483730E+01    0.103363E+00    0.171647E+01    0.365715E+01
    0.124451E+03    0.466606E+01    0.107157E+00    0.186283E+01    0.351080E+01
    0.125831E+03    0.446657E+01    0.111943E+00    0.203294E+01    0.334068E+01
    0.127371E+03    0.424172E+01    0.117877E+00    0.222463E+01    0.314899E+01
    0.129046E+03    0.399273E+01    0.125228E+00    0.243536E+01    0.293826E+01
    0.130827E+03    0.372545E+01    0.134212E+00    0.266226E+01    0.271136E+01
    0.132686E+03    0.344166E+01    0.145279E+00    0.290209E+01    0.247153E+01
    0.134592E+03    0.314664E+01    0.158900E+00    0.315129E+01    0.222233E+01
    0.136514E+03    0.284708E+01    0.175619E+00    0.340599E+01    0.196763E+01
    0.138419E+03    0.254358E+01    0.196574E+00    0.366204E+01    0.171159E+01
    0.140278E+03    0.224573E+01    0.222645E+00    0.391505E+01    0.145857E+01
    0.142060E+03    0.195524E+01    0.255723E+00    0.416056E+01    0.121306E+01
    0.143734E+03    0.168743E+01    0.296308E+00    0.439409E+01    0.979534E+00
    0.145274E+03    0.144119E+01    0.346935E+00    0.461127E+01    0.762354E+00
    0.146655E+03    0.121553E+01    0.411342E+00    0.480792E+01    0.565704E+00
    0.147853E+03    0.102954E+01    0.485654E+00    0.498015E+01    0.393478E+00
    0.148849E+03    0.891672E+00    0.560744E+00    0.512445E+01    0.249174E+00
    0.149627E+03    0.735453E+00    0.679853E+00    0.523784E+01    0.135785E+00
    0.150174E+03    0.552371E+00    0.905189E+00    0.531792E+01    0.557022E-01
    0.150480E+03    0.211713E+00    0.236169E+01    0.536300E+01    0.106219E-01
    0.150625E+03   -0.416099E+00   -0.120164E+01    0.538425E+01    0.106219E-01
    0.150932E+03    0.205042E+01    0.243852E+00    0.542947E+01    0.558481E-01
