#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01500 temp=   0.90000
    0.638873E+00    0.136823E+02    0.365435E-01   -0.654206E+01    0.119528E+02
    0.334081E+01    0.136763E+02    0.365597E-01   -0.653534E+01    0.119461E+02
    0.809926E+01    0.136458E+02    0.366413E-01   -0.649984E+01    0.119106E+02
    0.147433E+02    0.135601E+02    0.368729E-01   -0.639983E+01    0.118106E+02
    0.230330E+02    0.133816E+02    0.373646E-01   -0.619299E+01    0.116038E+02
    0.326688E+02    0.130745E+02    0.382424E-01   -0.584111E+01    0.112519E+02
    0.433023E+02    0.126103E+02    0.396501E-01   -0.532011E+01    0.107310E+02
    0.545493E+02    0.119750E+02    0.417538E-01   -0.462724E+01    0.100382E+02
    0.660033E+02    0.111758E+02    0.447397E-01   -0.379024E+01    0.920162E+01
    0.772504E+02    0.102432E+02    0.488130E-01   -0.286473E+01    0.827713E+01
    0.878839E+02    0.922783E+01    0.541839E-01   -0.191093E+01    0.732594E+01
    0.975196E+02    0.819733E+01    0.609955E-01   -0.987165E+00    0.640836E+01
    0.105809E+03    0.723135E+01    0.691434E-01   -0.147989E+00    0.558186E+01
    0.112453E+03    0.641090E+01    0.779922E-01    0.556075E+00    0.489896E+01
    0.117212E+03    0.580411E+01    0.861459E-01    0.107847E+01    0.440316E+01
    0.119914E+03    0.545529E+01    0.916541E-01    0.138233E+01    0.412112E+01
    0.120625E+03    0.536341E+01    0.932243E-01    0.146321E+01    0.404703E+01
    0.120932E+03    0.532379E+01    0.939181E-01    0.149824E+01    0.401508E+01
    0.121479E+03    0.525299E+01    0.951840E-01    0.156083E+01    0.395823E+01
    0.122256E+03    0.515219E+01    0.970461E-01    0.165027E+01    0.387749E+01
    0.123253E+03    0.502368E+01    0.995285E-01    0.176552E+01    0.377444E+01
    0.124451E+03    0.486908E+01    0.102689E+00    0.190517E+01    0.365113E+01
    0.125831E+03    0.469222E+01    0.106559E+00    0.206751E+01    0.351018E+01
    0.127371E+03    0.449626E+01    0.111203E+00    0.225047E+01    0.335476E+01
    0.129046E+03    0.428600E+01    0.116659E+00    0.245168E+01    0.318856E+01
    0.130827E+03    0.406718E+01    0.122935E+00    0.266841E+01    0.301582E+01
    0.132686E+03    0.384528E+01    0.130030E+00    0.289763E+01    0.284119E+01
    0.134592E+03    0.362645E+01    0.137876E+00    0.313598E+01    0.266959E+01
    0.136514E+03    0.341713E+01    0.146322E+00    0.337982E+01    0.250595E+01
    0.138419E+03    0.322326E+01    0.155123E+00    0.362518E+01    0.235497E+01
    0.140278E+03    0.304941E+01    0.163966E+00    0.386788E+01    0.222062E+01
    0.142060E+03    0.289791E+01    0.172538E+00    0.410360E+01    0.210581E+01
    0.143734E+03    0.277025E+01    0.180489E+00    0.432802E+01    0.201202E+01
    0.145274E+03    0.267745E+01    0.186745E+00    0.453694E+01    0.193921E+01
    0.146655E+03    0.263785E+01    0.189548E+00    0.472633E+01    0.188591E+01
    0.147853E+03    0.257351E+01    0.194287E+00    0.489240E+01    0.184948E+01
    0.148849E+03    0.253661E+01    0.197113E+00    0.503172E+01    0.182652E+01
    0.149627E+03    0.252177E+01    0.198274E+00    0.514129E+01    0.181342E+01
    0.150174E+03    0.261555E+01    0.191164E+00    0.521875E+01    0.180682E+01
    0.150480E+03    0.257435E+01    0.194224E+00    0.526238E+01    0.180407E+01
    0.150625E+03    0.252090E+01    0.198342E+00    0.528294E+01    0.180302E+01
    0.150932E+03    0.238213E+01    0.209896E+00    0.532673E+01    0.180131E+01
    0.151479E+03    0.323016E+01    0.154791E+00    0.540505E+01    0.180001E+01
    0.152256E+03    0.241316E+01    0.207197E+00    0.551708E+01    0.180209E+01
    0.153253E+03    0.250218E+01    0.199825E+00    0.566165E+01    0.181165E+01
    0.154451E+03    0.255974E+01    0.195333E+00    0.583716E+01    0.183355E+01
    0.155831E+03    0.258127E+01    0.193703E+00    0.604162E+01    0.187311E+01
    0.157371E+03    0.265490E+01    0.188331E+00    0.627260E+01    0.193550E+01
    0.159046E+03    0.276817E+01    0.180625E+00    0.652721E+01    0.202513E+01
    0.160827E+03    0.291742E+01    0.171384E+00    0.680216E+01    0.214502E+01
    0.162686E+03    0.310196E+01    0.161188E+00    0.709372E+01    0.229631E+01
    0.164592E+03    0.331881E+01    0.150657E+00    0.739774E+01    0.247791E+01
    0.166514E+03    0.356392E+01    0.140295E+00    0.770964E+01    0.268650E+01
    0.168419E+03    0.383198E+01    0.130481E+00    0.802442E+01    0.291676E+01
    0.170278E+03    0.411451E+01    0.121521E+00    0.833671E+01    0.316178E+01
    0.172060E+03    0.440206E+01    0.113583E+00    0.864088E+01    0.341369E+01
    0.173734E+03    0.468553E+01    0.106711E+00    0.893117E+01    0.366421E+01
    0.175274E+03    0.495611E+01    0.100885E+00    0.920196E+01    0.390523E+01
    0.176655E+03    0.520574E+01    0.960478E-01    0.944779E+01    0.412911E+01
    0.177853E+03    0.542726E+01    0.921275E-01    0.966357E+01    0.432895E+01
    0.178849E+03    0.561471E+01    0.890518E-01    0.984469E+01    0.449875E+01
    0.179627E+03    0.576279E+01    0.867635E-01    0.998722E+01    0.463350E+01
    0.180174E+03    0.586786E+01    0.852099E-01    0.100880E+02    0.472931E+01
    0.180480E+03    0.592699E+01    0.843598E-01    0.101447E+02    0.478346E+01
    0.180848E+03    0.599831E+01    0.833568E-01    0.102129E+02    0.484869E+01
    0.182107E+03    0.624462E+01    0.800690E-01    0.104481E+02    0.507485E+01
    0.184362E+03    0.669406E+01    0.746931E-01    0.108757E+02    0.549020E+01
    0.187598E+03    0.735469E+01    0.679838E-01    0.115036E+02    0.610693E+01
    0.191793E+03    0.823457E+01    0.607196E-01    0.123433E+02    0.693885E+01
    0.196922E+03    0.934040E+01    0.535309E-01    0.134085E+02    0.800003E+01
    0.202956E+03    0.106794E+02    0.468193E-01    0.147143E+02    0.930417E+01
    0.209864E+03    0.122601E+02    0.407827E-01    0.162746E+02    0.108641E+02
    0.217615E+03    0.140943E+02    0.354753E-01    0.181032E+02    0.126925E+02
    0.226183E+03    0.161960E+02    0.308718E-01    0.202180E+02    0.148073E+02
    0.235543E+03    0.185825E+02    0.269071E-01    0.226478E+02    0.172371E+02
    0.245674E+03    0.212723E+02    0.235047E-01    0.254242E+02    0.200134E+02
    0.256562E+03    0.242873E+02    0.205869E-01    0.285581E+02    0.231474E+02
    0.268201E+03    0.276526E+02    0.180815E-01    0.320438E+02    0.266330E+02
    0.280593E+03    0.313976E+02    0.159248E-01    0.359133E+02    0.305026E+02
    0.293748E+03    0.355565E+02    0.140621E-01    0.402109E+02    0.348001E+02
    0.307689E+03    0.401693E+02    0.124473E-01    0.449291E+02    0.395184E+02
    0.322450E+03    0.452840E+02    0.110414E-01    0.501087E+02    0.446979E+02
    0.338078E+03    0.509573E+02    0.981213E-02    0.558191E+02    0.504083E+02
    0.354639E+03    0.572570E+02    0.873255E-02    0.621189E+02    0.567082E+02
    0.372217E+03    0.642664E+02    0.778012E-02    0.690965E+02    0.636858E+02
