#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.06000 temp=   0.40000
    0.110754E+01    0.336573E+02    0.148556E-01   -0.186540E+02    0.296561E+02
    0.579156E+01    0.336387E+02    0.148638E-01   -0.186368E+02    0.296388E+02
    0.140407E+02    0.335477E+02    0.149041E-01   -0.185424E+02    0.295445E+02
    0.255587E+02    0.332947E+02    0.150174E-01   -0.182864E+02    0.292884E+02
    0.399295E+02    0.327655E+02    0.152600E-01   -0.177338E+02    0.287359E+02
    0.566338E+02    0.318516E+02    0.156978E-01   -0.167633E+02    0.277654E+02
    0.750679E+02    0.304746E+02    0.164071E-01   -0.152802E+02    0.262823E+02
    0.945655E+02    0.285911E+02    0.174879E-01   -0.132866E+02    0.242886E+02
    0.114422E+03    0.262161E+02    0.190722E-01   -0.109126E+02    0.219147E+02
    0.133920E+03    0.234303E+02    0.213399E-01   -0.831615E+01    0.193182E+02
    0.152354E+03    0.203754E+02    0.245394E-01   -0.561600E+01    0.166181E+02
    0.169058E+03    0.172501E+02    0.289854E-01   -0.292636E+01    0.139284E+02
    0.183429E+03    0.142837E+02    0.350049E-01   -0.429960E+00    0.114320E+02
    0.194947E+03    0.117152E+02    0.426795E-01    0.169339E+01    0.930867E+01
    0.203196E+03    0.976775E+01    0.511889E-01    0.328905E+01    0.771301E+01
    0.207880E+03    0.862005E+01    0.580043E-01    0.422488E+01    0.677718E+01
    0.209060E+03    0.832611E+01    0.600521E-01    0.446397E+01    0.653809E+01
    0.209367E+03    0.824938E+01    0.606106E-01    0.452639E+01    0.647567E+01
    0.209913E+03    0.811221E+01    0.616355E-01    0.463784E+01    0.636422E+01
    0.210691E+03    0.791638E+01    0.631602E-01    0.479689E+01    0.620518E+01
    0.211687E+03    0.766420E+01    0.652384E-01    0.500144E+01    0.600063E+01
    0.212886E+03    0.735901E+01    0.679439E-01    0.524875E+01    0.575332E+01
    0.214266E+03    0.700481E+01    0.713795E-01    0.553545E+01    0.546663E+01
    0.215806E+03    0.660643E+01    0.756838E-01    0.585753E+01    0.514456E+01
    0.217481E+03    0.616953E+01    0.810435E-01    0.621041E+01    0.479171E+01
    0.219262E+03    0.570060E+01    0.877101E-01    0.658893E+01    0.441327E+01
    0.221121E+03    0.520619E+01    0.960396E-01    0.698742E+01    0.401499E+01
    0.223027E+03    0.469415E+01    0.106516E+00    0.739974E+01    0.360320E+01
    0.224948E+03    0.417309E+01    0.119815E+00    0.781936E+01    0.318493E+01
    0.226854E+03    0.365344E+01    0.136857E+00    0.823942E+01    0.276818E+01
    0.228713E+03    0.314705E+01    0.158879E+00    0.865286E+01    0.236246E+01
    0.230494E+03    0.267001E+01    0.187266E+00    0.905258E+01    0.197952E+01
    0.232169E+03    0.223647E+01    0.223567E+00    0.943150E+01    0.163373E+01
    0.233709E+03    0.187668E+01    0.266428E+00    0.978283E+01    0.134070E+01
    0.235089E+03    0.159403E+01    0.313669E+00    0.101001E+02    0.111336E+01
    0.236287E+03    0.139192E+01    0.359216E+00    0.103772E+02    0.956418E+00
    0.237284E+03    0.130319E+01    0.383675E+00    0.106090E+02    0.863365E+00
    0.238062E+03    0.127313E+01    0.392733E+00    0.107908E+02    0.818513E+00
    0.238608E+03    0.105616E+01    0.473415E+00    0.109190E+02    0.802871E+00
    0.238915E+03    0.623924E+00    0.801380E+00    0.109912E+02    0.800050E+00
    0.239060E+03    0.105969E+01    0.471836E+00    0.110251E+02    0.800222E+00
    0.239367E+03    0.988206E+00    0.505967E+00    0.110974E+02    0.803786E+00
    0.239913E+03    0.129050E+01    0.387447E+00    0.112265E+02    0.820886E+00
    0.240691E+03    0.126068E+01    0.396612E+00    0.114108E+02    0.868439E+00
    0.241687E+03    0.135945E+01    0.367795E+00    0.116479E+02    0.966692E+00
    0.242886E+03    0.157583E+01    0.317294E+00    0.119347E+02    0.113330E+01
    0.244266E+03    0.186730E+01    0.267766E+00    0.122672E+02    0.137689E+01
    0.245806E+03    0.224185E+01    0.223030E+00    0.126408E+02    0.169418E+01
    0.247481E+03    0.270395E+01    0.184915E+00    0.130503E+02    0.207289E+01
    0.249262E+03    0.321749E+01    0.155401E+00    0.134897E+02    0.249759E+01
    0.251121E+03    0.376798E+01    0.132697E+00    0.139524E+02    0.295402E+01
    0.253027E+03    0.434127E+01    0.115174E+00    0.144312E+02    0.343043E+01
    0.254948E+03    0.492444E+01    0.101534E+00    0.149186E+02    0.391693E+01
    0.256854E+03    0.550652E+01    0.908014E-01    0.154066E+02    0.440468E+01
    0.258713E+03    0.607758E+01    0.822696E-01    0.158872E+02    0.488518E+01
