#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.12000 temp=   0.00000
    0.143673E+01    0.575791E+02    0.868371E-02   -0.335531E+02    0.505683E+02
    0.751300E+01    0.575463E+02    0.868865E-02   -0.335161E+02    0.505313E+02
    0.182140E+02    0.573796E+02    0.871390E-02   -0.333182E+02    0.503334E+02
    0.331556E+02    0.569154E+02    0.878497E-02   -0.327811E+02    0.497963E+02
    0.517979E+02    0.559429E+02    0.893769E-02   -0.316998E+02    0.487151E+02
    0.734673E+02    0.542741E+02    0.921249E-02   -0.299206E+02    0.469359E+02
    0.973805E+02    0.517606E+02    0.965986E-02   -0.273681E+02    0.443834E+02
    0.122673E+03    0.483204E+02    0.103476E-01   -0.240270E+02    0.410422E+02
    0.148432E+03    0.439865E+02    0.113671E-01   -0.199630E+02    0.369782E+02
    0.173725E+03    0.389069E+02    0.128512E-01   -0.153441E+02    0.323594E+02
    0.197638E+03    0.333487E+02    0.149931E-01   -0.104462E+02    0.274615E+02
    0.219307E+03    0.276743E+02    0.180673E-01   -0.560573E+01    0.226210E+02
    0.237950E+03    0.222904E+02    0.224312E-01   -0.103675E+01    0.180520E+02
    0.252891E+03    0.176291E+02    0.283622E-01    0.291642E+01    0.140988E+02
    0.263592E+03    0.141177E+02    0.354166E-01    0.588918E+01    0.111261E+02
    0.269669E+03    0.120511E+02    0.414902E-01    0.761555E+01    0.939968E+01
    0.271177E+03    0.115253E+02    0.433828E-01    0.804791E+01    0.896732E+01
    0.271484E+03    0.114175E+02    0.437924E-01    0.813603E+01    0.887921E+01
    0.272031E+03    0.112245E+02    0.445456E-01    0.829318E+01    0.872205E+01
    0.272809E+03    0.109483E+02    0.456691E-01    0.851709E+01    0.849814E+01
    0.273805E+03    0.105919E+02    0.472057E-01    0.880443E+01    0.821081E+01
    0.275003E+03    0.101596E+02    0.492146E-01    0.915092E+01    0.786431E+01
    0.276384E+03    0.965659E+01    0.517781E-01    0.955142E+01    0.746381E+01
    0.277924E+03    0.908086E+01    0.550609E-01    0.999997E+01    0.701527E+01
    0.279598E+03    0.845060E+01    0.591674E-01    0.104898E+02    0.652540E+01
    0.281380E+03    0.777611E+01    0.642995E-01    0.110135E+02    0.600170E+01
    0.283239E+03    0.706815E+01    0.707399E-01    0.115629E+02    0.545234E+01
    0.285144E+03    0.633814E+01    0.788875E-01    0.121292E+02    0.488606E+01
    0.287066E+03    0.559498E+01    0.893659E-01    0.127033E+02    0.431193E+01
    0.288972E+03    0.485445E+01    0.102998E+00    0.132761E+02    0.373918E+01
    0.290831E+03    0.412866E+01    0.121105E+00    0.138381E+02    0.317713E+01
    0.292612E+03    0.342932E+01    0.145802E+00    0.143801E+02    0.263515E+01
    0.294287E+03    0.276658E+01    0.180728E+00    0.148927E+02    0.212250E+01
    0.295827E+03    0.215185E+01    0.232358E+00    0.153671E+02    0.164813E+01
    0.297207E+03    0.159619E+01    0.313246E+00    0.157947E+02    0.122052E+01
    0.298405E+03    0.110996E+01    0.450466E+00    0.161678E+02    0.847466E+00
    0.299402E+03    0.702842E+00    0.711397E+00    0.164793E+02    0.535897E+00
    0.300179E+03    0.382590E+00    0.130688E+01    0.167235E+02    0.291707E+00
    0.300726E+03    0.157049E+00    0.318372E+01    0.168957E+02    0.119572E+00
    0.301033E+03    0.316122E-01    0.158167E+02    0.169924E+02    0.227898E-01
    0.301177E+03    0.308589E-01    0.162028E+02    0.170380E+02    0.227898E-01
    0.301484E+03    0.157399E+00    0.317664E+01    0.171350E+02    0.119762E+00
    0.302031E+03    0.383824E+00    0.130268E+01    0.173081E+02    0.292875E+00
    0.302809E+03    0.705817E+00    0.708399E+00    0.175551E+02    0.539872E+00
    0.303805E+03    0.111651E+01    0.447822E+00    0.178727E+02    0.857464E+00
    0.305003E+03    0.160908E+01    0.310736E+00    0.182566E+02    0.124139E+01
