
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    7.629641E-01    0.000000E+00    2.141948E+00
    7.629641E-01    1.000000E-01    2.395020E+00
    7.629641E-01    2.000000E-01    2.369948E+00
    7.629641E-01    3.000000E-01    2.319195E+00
    7.629641E-01    4.000000E-01    2.220132E+00
    7.629641E-01    5.000000E-01    2.120890E+00
    7.629641E-01    6.000000E-01    1.935429E+00
    7.629641E-01    8.000000E-01    1.407246E+00
    7.629641E-01    9.000000E-01    9.177226E-01
    7.629641E-01    1.000000E+00    1.151388E-05
    7.629641E-01    1.100000E+00    2.133263E-06
