
#   kf [fm-1]       T [MeV]       Gap(kf) [MeV]
    8.397506E-01    0.000000E+00    2.261642E+00
    8.397506E-01    2.000000E-01    2.288517E+00
    8.397506E-01    4.000000E-01    2.119618E+00
    8.397506E-01    5.000000E-01    1.978620E+00
    8.397506E-01    6.000000E-01    1.789283E+00
    8.397506E-01    7.000000E-01    1.534587E+00
    8.397506E-01    8.000000E-01    1.173668E+00
    8.397506E-01    9.000000E-01    5.188869E-01
    8.397506E-01    1.000000E+00    3.355227E-06
    8.397506E-01    1.100000E+00    1.683809E-06
