#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   0.00000
    0.538008E+00    0.103941E+02    0.481041E-01   -0.458986E+01    0.886362E+01
    0.281337E+01    0.103894E+02    0.481261E-01   -0.458444E+01    0.885820E+01
    0.682055E+01    0.103659E+02    0.482352E-01   -0.455852E+01    0.883228E+01
    0.124157E+02    0.102997E+02    0.485451E-01   -0.448679E+01    0.876055E+01
    0.193966E+02    0.101655E+02    0.491861E-01   -0.434020E+01    0.861396E+01
    0.275110E+02    0.993524E+01    0.503259E-01   -0.409312E+01    0.836688E+01
    0.364658E+02    0.959456E+01    0.521129E-01   -0.373211E+01    0.800587E+01
    0.459371E+02    0.913542E+01    0.547320E-01   -0.325850E+01    0.753226E+01
    0.555828E+02    0.856165E+01    0.583999E-01   -0.268853E+01    0.696229E+01
    0.650541E+02    0.789760E+01    0.633104E-01   -0.204851E+01    0.632227E+01
    0.740088E+02    0.717258E+01    0.697099E-01   -0.137603E+01    0.564979E+01
    0.821233E+02    0.643387E+01    0.777137E-01   -0.717059E+00    0.499082E+01
    0.891042E+02    0.573344E+01    0.872076E-01   -0.114100E+00    0.438786E+01
    0.946993E+02    0.512447E+01    0.975711E-01    0.392990E+00    0.388077E+01
    0.987065E+02    0.466451E+01    0.107192E+00    0.769114E+00    0.350465E+01
    0.100982E+03    0.440258E+01    0.113570E+00    0.987359E+00    0.328640E+01
    0.101592E+03    0.433090E+01    0.115449E+00    0.104645E+01    0.322731E+01
    0.101899E+03    0.429467E+01    0.116423E+00    0.107626E+01    0.319750E+01
    0.102446E+03    0.422982E+01    0.118208E+00    0.112952E+01    0.314424E+01
    0.103224E+03    0.413731E+01    0.120851E+00    0.120563E+01    0.306813E+01
    0.104220E+03    0.401696E+01    0.124472E+00    0.130367E+01    0.297009E+01
    0.105418E+03    0.387035E+01    0.129187E+00    0.142246E+01    0.285130E+01
    0.106798E+03    0.369899E+01    0.135172E+00    0.156052E+01    0.271324E+01
    0.108339E+03    0.350445E+01    0.142676E+00    0.171608E+01    0.255768E+01
    0.110013E+03    0.328804E+01    0.152066E+00    0.188707E+01    0.238669E+01
    0.111794E+03    0.305325E+01    0.163760E+00    0.207113E+01    0.220263E+01
    0.113653E+03    0.280241E+01    0.178418E+00    0.226560E+01    0.200816E+01
    0.115559E+03    0.253842E+01    0.196973E+00    0.246760E+01    0.180616E+01
    0.117481E+03    0.226540E+01    0.220712E+00    0.267400E+01    0.159976E+01
    0.119387E+03    0.198678E+01    0.251663E+00    0.288150E+01    0.139226E+01
    0.121245E+03    0.170605E+01    0.293075E+00    0.308667E+01    0.118709E+01
    0.123027E+03    0.142898E+01    0.349900E+00    0.328593E+01    0.987824E+00
    0.124701E+03    0.116093E+01    0.430690E+00    0.347569E+01    0.798065E+00
    0.126241E+03    0.909284E+00    0.549883E+00    0.365236E+01    0.621401E+00
    0.127622E+03    0.679057E+00    0.736315E+00    0.381247E+01    0.461292E+00
    0.128820E+03    0.474783E+00    0.105311E+01    0.395279E+01    0.320964E+00
    0.129816E+03    0.301403E+00    0.165891E+01    0.407045E+01    0.203314E+00
    0.130594E+03    0.165048E+00    0.302942E+01    0.416294E+01    0.110821E+00
    0.131141E+03    0.656478E-01    0.761640E+01    0.422829E+01    0.454702E-01
    0.131448E+03    0.124645E-01    0.401138E+02    0.426509E+01    0.867230E-02
    0.131592E+03    0.100920E-01    0.495443E+02    0.428243E+01    0.867230E-02
    0.131899E+03    0.556996E-01    0.897673E+01    0.431936E+01    0.456011E-01
    0.132446E+03    0.152427E+00    0.328026E+01    0.438538E+01    0.111625E+00
    0.133224E+03    0.289288E+00    0.172838E+01    0.447981E+01    0.206050E+00
    0.134220E+03    0.465404E+00    0.107433E+01    0.460161E+01    0.327848E+00
    0.135418E+03    0.677122E+00    0.738419E+00    0.474943E+01    0.475667E+00
    0.136798E+03    0.918973E+00    0.544086E+00    0.492159E+01    0.647828E+00
    0.138339E+03    0.118726E+01    0.421139E+00    0.511607E+01    0.842314E+00
    0.140013E+03    0.147709E+01    0.338503E+00    0.533052E+01    0.105677E+01
    0.141794E+03    0.178466E+01    0.280165E+00    0.556223E+01    0.128848E+01
    0.143653E+03    0.210382E+01    0.237663E+00    0.580815E+01    0.153439E+01
    0.145559E+03    0.242997E+01    0.205764E+00    0.606486E+01    0.179110E+01
    0.147481E+03    0.275891E+01    0.181231E+00    0.632859E+01    0.205483E+01
    0.149387E+03    0.308609E+01    0.162017E+00    0.659516E+01    0.232140E+01
    0.151245E+03    0.340652E+01    0.146778E+00    0.686008E+01    0.258632E+01
    0.153027E+03    0.371505E+01    0.134588E+00    0.711866E+01    0.284490E+01
    0.154701E+03    0.400656E+01    0.124795E+00    0.736606E+01    0.309230E+01
    0.156241E+03    0.427705E+01    0.116903E+00    0.759746E+01    0.332370E+01
    0.157622E+03    0.452492E+01    0.110499E+00    0.780812E+01    0.353436E+01
    0.158820E+03    0.474116E+01    0.105459E+00    0.799351E+01    0.371976E+01
    0.159816E+03    0.492172E+01    0.101591E+00    0.814952E+01    0.387576E+01
    0.160594E+03    0.506340E+01    0.987478E-01    0.827253E+01    0.399877E+01
    0.161141E+03    0.516287E+01    0.968454E-01    0.835963E+01    0.408587E+01
    0.161448E+03    0.521892E+01    0.958053E-01    0.840874E+01    0.413498E+01
    0.161777E+03    0.527916E+01    0.947121E-01    0.846160E+01    0.418784E+01
    0.162872E+03    0.547964E+01    0.912470E-01    0.863881E+01    0.436505E+01
    0.164833E+03    0.584100E+01    0.856017E-01    0.896160E+01    0.468784E+01
    0.167648E+03    0.636412E+01    0.785655E-01    0.943688E+01    0.516313E+01
    0.171298E+03    0.705163E+01    0.709056E-01    0.100747E+02    0.580091E+01
    0.175760E+03    0.791384E+01    0.631804E-01    0.108882E+02    0.661445E+01
    0.181008E+03    0.894960E+01    0.558684E-01    0.118939E+02    0.762013E+01
    0.187017E+03    0.101671E+02    0.491781E-01    0.131113E+02    0.883755E+01
    0.193760E+03    0.115797E+02    0.431792E-01    0.145567E+02    0.102830E+02
    0.201213E+03    0.131941E+02    0.378956E-01    0.162371E+02    0.119633E+02
    0.209355E+03    0.150259E+02    0.332759E-01    0.181483E+02    0.138745E+02
    0.218167E+03    0.170883E+02    0.292597E-01    0.202929E+02    0.160192E+02
    0.227639E+03    0.193971E+02    0.257771E-01    0.226940E+02    0.184203E+02
    0.237763E+03    0.219726E+02    0.227556E-01    0.253844E+02    0.211106E+02
    0.248543E+03    0.248370E+02    0.201313E-01    0.283768E+02    0.241030E+02
    0.259986E+03    0.280156E+02    0.178472E-01    0.316638E+02    0.273900E+02
    0.272113E+03    0.315396E+02    0.158531E-01    0.352784E+02    0.310046E+02
    0.284953E+03    0.354439E+02    0.141068E-01    0.392849E+02    0.350111E+02
    0.298547E+03    0.397739E+02    0.125711E-01    0.436951E+02    0.394214E+02
    0.312953E+03    0.445804E+02    0.112157E-01    0.485352E+02    0.442614E+02
    0.328244E+03    0.499272E+02    0.100146E-01    0.539057E+02    0.496320E+02
    0.344512E+03    0.558923E+02    0.894577E-02    0.598593E+02    0.555855E+02
    0.361878E+03    0.625727E+02    0.799070E-02    0.665135E+02    0.622398E+02
    0.380493E+03    0.700903E+02    0.713366E-02    0.739833E+02    0.697096E+02
    0.400551E+03    0.786016E+02    0.636119E-02    0.824363E+02    0.781626E+02
    0.422302E+03    0.883116E+02    0.566177E-02    0.920778E+02    0.878040E+02
    0.446073E+03    0.994939E+02    0.502544E-02    0.103180E+03    0.989064E+02
    0.472304E+03    0.112523E+03    0.444352E-02    0.116118E+03    0.111845E+03
    0.501595E+03    0.127929E+03    0.390842E-02    0.131419E+03    0.127145E+03
    0.534803E+03    0.146489E+03    0.341322E-02    0.149859E+03    0.145585E+03
    0.573199E+03    0.169410E+03    0.295141E-02    0.172634E+03    0.168360E+03
    0.618790E+03    0.198671E+03    0.251672E-02    0.201744E+03    0.197470E+03
    0.675015E+03    0.237806E+03    0.210256E-02    0.240743E+03    0.236469E+03
    0.748546E+03    0.293978E+03    0.170081E-02    0.296774E+03    0.292500E+03
    0.855221E+03    0.385164E+03    0.129815E-02    0.387818E+03    0.383544E+03
    0.105216E+04    0.583983E+03    0.856190E-03    0.587466E+03    0.583192E+03
