#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.01000 temp=   0.70000
    0.538008E+00    0.102750E+02    0.486617E-01   -0.461458E+01    0.881864E+01
    0.281337E+01    0.102704E+02    0.486838E-01   -0.460936E+01    0.881341E+01
    0.682055E+01    0.102473E+02    0.487932E-01   -0.458385E+01    0.878790E+01
    0.124157E+02    0.101825E+02    0.491038E-01   -0.451285E+01    0.871692E+01
    0.193966E+02    0.100497E+02    0.497525E-01   -0.436730E+01    0.857138E+01
    0.275110E+02    0.982456E+01    0.508929E-01   -0.412156E+01    0.832567E+01
    0.364658E+02    0.948907E+01    0.526922E-01   -0.376202E+01    0.796620E+01
    0.459371E+02    0.903499E+01    0.553404E-01   -0.328921E+01    0.749354E+01
    0.555828E+02    0.846855E+01    0.590420E-01   -0.271903E+01    0.692372E+01
    0.650541E+02    0.780926E+01    0.640265E-01   -0.207801E+01    0.628359E+01
    0.740088E+02    0.709110E+01    0.705109E-01   -0.140363E+01    0.561135E+01
    0.821233E+02    0.636404E+01    0.785665E-01   -0.741600E+00    0.495405E+01
    0.891042E+02    0.568258E+01    0.879882E-01   -0.134853E+00    0.435652E+01
    0.946993E+02    0.510272E+01    0.979870E-01    0.375976E+00    0.386044E+01
    0.987065E+02    0.467270E+01    0.107004E+00    0.755117E+00    0.349924E+01
    0.100982E+03    0.442455E+01    0.113006E+00    0.975222E+00    0.329352E+01
    0.101592E+03    0.435773E+01    0.114739E+00    0.103483E+01    0.323842E+01
    0.101899E+03    0.432405E+01    0.115632E+00    0.106490E+01    0.321074E+01
    0.102446E+03    0.426394E+01    0.117263E+00    0.111864E+01    0.316146E+01
    0.103224E+03    0.417852E+01    0.119660E+00    0.119544E+01    0.309150E+01
    0.104220E+03    0.406926E+01    0.122872E+00    0.129438E+01    0.300220E+01
    0.105418E+03    0.393756E+01    0.126982E+00    0.141428E+01    0.289538E+01
    0.106798E+03    0.378683E+01    0.132037E+00    0.155364E+01    0.277337E+01
    0.108339E+03    0.361931E+01    0.138148E+00    0.171070E+01    0.263898E+01
    0.110013E+03    0.343984E+01    0.145355E+00    0.188337E+01    0.249558E+01
    0.111794E+03    0.325217E+01    0.153743E+00    0.206926E+01    0.234707E+01
