#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.04000 temp=   0.30000
    0.947423E+00    0.254017E+02    0.196837E-01   -0.132806E+02    0.227929E+02
    0.495429E+01    0.253879E+02    0.196944E-01   -0.132673E+02    0.227795E+02
    0.120109E+02    0.253204E+02    0.197469E-01   -0.131908E+02    0.227031E+02
    0.218638E+02    0.251334E+02    0.198938E-01   -0.129711E+02    0.224833E+02
    0.341570E+02    0.247491E+02    0.202027E-01   -0.125170E+02    0.220292E+02
    0.484465E+02    0.240886E+02    0.207567E-01   -0.117569E+02    0.212692E+02
    0.642156E+02    0.230878E+02    0.216565E-01   -0.106572E+02    0.201694E+02
    0.808945E+02    0.217190E+02    0.230213E-01   -0.922166E+01    0.187339E+02
    0.978803E+02    0.199960E+02    0.250050E-01   -0.749581E+01    0.170080E+02
    0.114559E+03    0.179779E+02    0.278120E-01   -0.555509E+01    0.150673E+02
    0.130328E+03    0.157695E+02    0.317068E-01   -0.350425E+01    0.130165E+02
    0.144618E+03    0.135138E+02    0.369991E-01   -0.148562E+01    0.109978E+02
    0.156911E+03    0.113773E+02    0.439470E-01    0.366365E+00    0.914585E+01
    0.166764E+03    0.953033E+01    0.524641E-01    0.193259E+01    0.757963E+01
    0.173820E+03    0.813292E+01    0.614785E-01    0.310164E+01    0.641058E+01
    0.177827E+03    0.731047E+01    0.683951E-01    0.378479E+01    0.572742E+01
    0.178847E+03    0.709765E+01    0.704458E-01    0.396089E+01    0.555133E+01
    0.179154E+03    0.703341E+01    0.710893E-01    0.401407E+01    0.549815E+01
    0.179701E+03    0.691855E+01    0.722695E-01    0.410903E+01    0.540318E+01
    0.180479E+03    0.675443E+01    0.740255E-01    0.424459E+01    0.526762E+01
    0.181475E+03    0.654327E+01    0.764143E-01    0.441900E+01    0.509321E+01
    0.182673E+03    0.628782E+01    0.795188E-01    0.462998E+01    0.488224E+01
    0.184053E+03    0.599144E+01    0.834524E-01    0.487473E+01    0.463748E+01
    0.185593E+03    0.565805E+01    0.883696E-01    0.514995E+01    0.436227E+01
    0.187268E+03    0.529203E+01    0.944817E-01    0.545180E+01    0.406043E+01
    0.189049E+03    0.489847E+01    0.102073E+00    0.577592E+01    0.373633E+01
    0.190908E+03    0.448332E+01    0.111524E+00    0.611744E+01    0.339485E+01
    0.192814E+03    0.405321E+01    0.123359E+00    0.647107E+01    0.304139E+01
    0.194736E+03    0.361605E+01    0.138273E+00    0.683112E+01    0.268180E+01
    0.196642E+03    0.318033E+01    0.157217E+00    0.719169E+01    0.232255E+01
    0.198500E+03    0.275634E+01    0.181400E+00    0.754673E+01    0.197110E+01
    0.200282E+03    0.235672E+01    0.212159E+00    0.789011E+01    0.163672E+01
    0.201956E+03    0.199655E+01    0.250432E+00    0.821575E+01    0.133136E+01
    0.203496E+03    0.169254E+01    0.295413E+00    0.851774E+01    0.106947E+01
    0.204877E+03    0.145860E+01    0.342794E+00    0.879047E+01    0.864843E+00
    0.206075E+03    0.130065E+01    0.384422E+00    0.902875E+01    0.724560E+00
    0.207071E+03    0.120983E+01    0.413281E+00    0.922798E+01    0.644224E+00
    0.207849E+03    0.116847E+01    0.427911E+00    0.938427E+01    0.609067E+00
    0.208396E+03    0.130144E+01    0.384189E+00    0.949450E+01    0.600174E+00
    0.208703E+03    0.107016E+01    0.467222E+00    0.955650E+01    0.601089E+00
    0.208847E+03    0.110518E+01    0.452417E+00    0.958570E+01    0.602997E+00
    0.209154E+03    0.114253E+01    0.437625E+00    0.964785E+01    0.610185E+00
    0.209701E+03    0.116246E+01    0.430122E+00    0.975882E+01    0.633412E+00
    0.210479E+03    0.122369E+01    0.408599E+00    0.991723E+01    0.688480E+00
    0.211475E+03    0.133028E+01    0.375859E+00    0.101210E+02    0.793049E+00
    0.212673E+03    0.150968E+01    0.331197E+00    0.103676E+02    0.960255E+00
    0.214053E+03    0.176644E+01    0.283055E+00    0.106535E+02    0.119332E+01
    0.215593E+03    0.209527E+01    0.238632E+00    0.109750E+02    0.148531E+01
    0.217268E+03    0.248331E+01    0.201344E+00    0.113276E+02    0.182397E+01
    0.219049E+03    0.291574E+01    0.171483E+00    0.117063E+02    0.219697E+01
    0.220908E+03    0.337888E+01    0.147978E+00    0.121054E+02    0.259414E+01
    0.222814E+03    0.386127E+01    0.129491E+00    0.125192E+02    0.300723E+01
    0.224736E+03    0.435327E+01    0.114856E+00    0.129410E+02    0.342888E+01
    0.226642E+03    0.484559E+01    0.103187E+00    0.133641E+02    0.385195E+01
    0.228500E+03    0.532928E+01    0.938212E-01    0.137814E+02    0.426923E+01
    0.230282E+03    0.579623E+01    0.862630E-01    0.141857E+02    0.467344E+01
    0.231956E+03    0.623872E+01    0.801447E-01    0.145696E+02    0.505736E+01
    0.233496E+03    0.664941E+01    0.751947E-01    0.149261E+02    0.541391E+01
    0.234877E+03    0.701977E+01    0.712274E-01    0.152486E+02    0.573634E+01
    0.236075E+03    0.734258E+01    0.680960E-01    0.155306E+02    0.601840E+01
    0.237071E+03    0.761197E+01    0.656860E-01    0.157667E+02    0.625447E+01
    0.237849E+03    0.782314E+01    0.639130E-01    0.159520E+02    0.643980E+01
    0.238396E+03    0.797190E+01    0.627203E-01    0.160828E+02    0.657059E+01
    0.238703E+03    0.805562E+01    0.620684E-01    0.161564E+02    0.664419E+01
    0.239188E+03    0.818809E+01    0.610643E-01    0.162730E+02    0.676082E+01
    0.240948E+03    0.867079E+01    0.576649E-01    0.166989E+02    0.718671E+01
    0.244100E+03    0.954372E+01    0.523905E-01    0.174731E+02    0.796090E+01
    0.248624E+03    0.108157E+02    0.462289E-01    0.186095E+02    0.909732E+01
    0.254490E+03    0.124990E+02    0.400030E-01    0.201287E+02    0.106165E+02
    0.261661E+03    0.146102E+02    0.342228E-01    0.220590E+02    0.125468E+02
    0.270096E+03    0.171691E+02    0.291221E-01    0.244363E+02    0.149241E+02
    0.279753E+03    0.201990E+02    0.247537E-01    0.273017E+02    0.177895E+02
    0.290591E+03    0.237273E+02    0.210728E-01    0.306934E+02    0.211812E+02
    0.302569E+03    0.277852E+02    0.179952E-01    0.346674E+02    0.251552E+02
    0.315654E+03    0.324072E+02    0.154287E-01    0.392712E+02    0.297590E+02
    0.329818E+03    0.376304E+02    0.132871E-01    0.444947E+02    0.349824E+02
    0.345040E+03    0.434981E+02    0.114948E-01    0.503993E+02    0.408870E+02
    0.361312E+03    0.500580E+02    0.998842E-02    0.569791E+02    0.474668E+02
    0.378637E+03    0.573653E+02    0.871608E-02    0.642911E+02    0.547789E+02
    0.397028E+03    0.654837E+02    0.763549E-02    0.723670E+02    0.628547E+02
    0.416518E+03    0.744884E+02    0.671246E-02    0.812804E+02    0.717682E+02
    0.437154E+03    0.844680E+02    0.591940E-02    0.911176E+02    0.816054E+02
    0.459004E+03    0.955289E+02    0.523402E-02    0.101990E+03    0.924779E+02
    0.482157E+03    0.107800E+03    0.463820E-02    0.114035E+03    0.104522E+03
    0.506731E+03    0.121441E+03    0.411721E-02    0.127411E+03    0.117899E+03
    0.532878E+03    0.136649E+03    0.365900E-02    0.142320E+03    0.132808E+03
    0.560788E+03    0.153672E+03    0.325369E-02    0.159025E+03    0.149513E+03
    0.590706E+03    0.172822E+03    0.289314E-02    0.177852E+03    0.168340E+03
    0.622943E+03    0.194492E+03    0.257079E-02    0.199229E+03    0.189717E+03
    0.657900E+03    0.219183E+03    0.228119E-02    0.223593E+03    0.214081E+03
    0.696105E+03    0.247540E+03    0.201987E-02    0.251602E+03    0.242090E+03
    0.738263E+03    0.280422E+03    0.178302E-02    0.283956E+03    0.274443E+03
    0.785339E+03    0.319013E+03    0.156733E-02    0.322087E+03    0.312575E+03
    0.838710E+03    0.365086E+03    0.136954E-02    0.367610E+03    0.358097E+03
    0.900420E+03    0.421521E+03    0.118618E-02    0.424404E+03    0.414892E+03
    0.973693E+03    0.493379E+03    0.101342E-02    0.497498E+03    0.487986E+03
    0.106406E+04    0.590276E+03    0.847061E-03    0.597409E+03    0.587896E+03
    0.118224E+04    0.731801E+03    0.683245E-03    0.742878E+03    0.733366E+03
    0.135368E+04    0.964856E+03    0.518212E-03    0.976572E+03    0.967060E+03
    0.167020E+04    0.147495E+04    0.338995E-03    0.148460E+04    0.147508E+04
