#     k [MeV]       Xi [MeV]       1/2/Xi [MeV-1]     e(k) [MeV]     Xi_qp [MeV]


# rho=   0.05000 temp=   0.10000
    0.103286E+01    0.298280E+02    0.167628E-01   -0.156596E+02    0.265989E+02
    0.540105E+01    0.298122E+02    0.167717E-01   -0.156424E+02    0.265816E+02
    0.130940E+02    0.297328E+02    0.168164E-01   -0.155536E+02    0.264929E+02
    0.238353E+02    0.295100E+02    0.169434E-01   -0.153143E+02    0.262535E+02
    0.372372E+02    0.290464E+02    0.172138E-01   -0.148197E+02    0.257590E+02
    0.528151E+02    0.282498E+02    0.176992E-01   -0.139640E+02    0.249033E+02
    0.700062E+02    0.270522E+02    0.184828E-01   -0.126867E+02    0.236260E+02
    0.881891E+02    0.254148E+02    0.196736E-01   -0.109961E+02    0.219354E+02
    0.106707E+03    0.233501E+02    0.214132E-01   -0.896796E+01    0.199072E+02
    0.124890E+03    0.209330E+02    0.238857E-01   -0.670133E+01    0.176406E+02
    0.142081E+03    0.182876E+02    0.273409E-01   -0.429345E+01    0.152327E+02
    0.157659E+03    0.155850E+02    0.320822E-01   -0.189843E+01    0.128377E+02
    0.171060E+03    0.130236E+02    0.383918E-01    0.314925E+00    0.106243E+02
    0.181802E+03    0.108100E+02    0.462534E-01    0.219826E+01    0.874100E+01
    0.189495E+03    0.913434E+01    0.547385E-01    0.361288E+01    0.732638E+01
    0.193863E+03    0.814741E+01    0.613692E-01    0.444072E+01    0.649855E+01
    0.194968E+03    0.789421E+01    0.633376E-01    0.465288E+01    0.628639E+01
    0.195275E+03    0.782362E+01    0.639091E-01    0.471199E+01    0.622728E+01
    0.195822E+03    0.769766E+01    0.649548E-01    0.481752E+01    0.612174E+01
    0.196600E+03    0.751745E+01    0.665119E-01    0.496812E+01    0.597115E+01
    0.197596E+03    0.728503E+01    0.686339E-01    0.516178E+01    0.577749E+01
    0.198794E+03    0.700276E+01    0.714004E-01    0.539588E+01    0.554339E+01
    0.200174E+03    0.667476E+01    0.749091E-01    0.566720E+01    0.527207E+01
    0.201714E+03    0.630723E+01    0.792741E-01    0.597192E+01    0.496734E+01
    0.203389E+03    0.590609E+01    0.846584E-01    0.630568E+01    0.463359E+01
    0.205170E+03    0.547494E+01    0.913252E-01    0.666354E+01    0.427573E+01
    0.207029E+03    0.501916E+01    0.996183E-01    0.704012E+01    0.389915E+01
    0.208935E+03    0.454604E+01    0.109986E+00    0.742961E+01    0.350966E+01
    0.210857E+03    0.406341E+01    0.123049E+00    0.782586E+01    0.311341E+01
    0.212763E+03    0.357935E+01    0.139690E+00    0.822247E+01    0.271680E+01
    0.214621E+03    0.310206E+01    0.161183E+00    0.861285E+01    0.232642E+01
    0.216403E+03    0.263983E+01    0.189406E+00    0.899034E+01    0.194893E+01
    0.218077E+03    0.220137E+01    0.227131E+00    0.934832E+01    0.159095E+01
    0.219617E+03    0.179558E+01    0.278461E+00    0.968033E+01    0.125895E+01
    0.220998E+03    0.143252E+01    0.349036E+00    0.998021E+01    0.959192E+00
    0.222196E+03    0.112515E+01    0.444384E+00    0.102423E+02    0.698309E+00
    0.223192E+03    0.889158E+00    0.562330E+00    0.104614E+02    0.485935E+00
    0.223970E+03    0.734602E+00    0.680641E+00    0.106334E+02    0.336010E+00
    0.224517E+03    0.664728E+00    0.752188E+00    0.107547E+02    0.253793E+00
    0.224824E+03    0.650753E+00    0.768341E+00    0.108229E+02    0.222062E+00
    0.224968E+03    0.636090E+00    0.786053E+00    0.108551E+02    0.211676E+00
    0.225275E+03    0.460068E+00    0.108680E+01    0.109235E+02    0.200415E+00
    0.225822E+03    0.618883E+00    0.807907E+00    0.110456E+02    0.218514E+00
    0.226600E+03    0.704583E+00    0.709639E+00    0.112201E+02    0.316844E+00
    0.227596E+03    0.896603E+00    0.557661E+00    0.114445E+02    0.511721E+00
    0.228794E+03    0.119011E+01    0.420130E+00    0.117160E+02    0.777402E+00
    0.230174E+03    0.155734E+01    0.321061E+00    0.120310E+02    0.109179E+01
    0.231714E+03    0.197870E+01    0.252692E+00    0.123852E+02    0.144593E+01
    0.233389E+03    0.244198E+01    0.204752E+00    0.127736E+02    0.183430E+01
    0.235170E+03    0.293859E+01    0.170150E+00    0.131905E+02    0.225120E+01
    0.237029E+03    0.346017E+01    0.144502E+00    0.136296E+02    0.269035E+01
    0.238935E+03    0.399830E+01    0.125053E+00    0.140842E+02    0.314491E+01
    0.240857E+03    0.454434E+01    0.110027E+00    0.145469E+02    0.360763E+01
    0.242763E+03    0.508911E+01    0.982491E-01    0.150102E+02    0.407095E+01
    0.244621E+03    0.562293E+01    0.889216E-01    0.154664E+02    0.452713E+01
    0.246403E+03    0.613619E+01    0.814838E-01    0.159076E+02    0.496832E+01
    0.248077E+03    0.662433E+01    0.754794E-01    0.163260E+02    0.538671E+01
    0.249617E+03    0.707749E+01    0.706465E-01    0.167140E+02    0.577471E+01
    0.250998E+03    0.748298E+01    0.668183E-01    0.170644E+02    0.612510E+01
    0.252196E+03    0.783596E+01    0.638084E-01    0.173705E+02    0.643124E+01
    0.253192E+03    0.813175E+01    0.614874E-01    0.176265E+02    0.668722E+01
    0.253970E+03    0.836365E+01    0.597825E-01    0.178273E+02    0.688804E+01
    0.254517E+03    0.852690E+01    0.586379E-01    0.179690E+02    0.702969E+01
    0.254824E+03    0.861845E+01    0.580151E-01    0.180486E+02    0.710936E+01
