#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   1.058375E-04
  2.010050E-02   6.520862E-04
  3.015075E-02   1.877800E-03
  4.020101E-02   3.960288E-03
  5.025126E-02   7.041497E-03
  6.030151E-02   1.123806E-02
  7.035176E-02   1.664676E-02
  8.040201E-02   2.334796E-02
  9.045226E-02   3.140802E-02
  1.005025E-01   4.088106E-02
  1.105528E-01   5.181031E-02
  1.206030E-01   6.422928E-02
  1.306533E-01   7.816259E-02
  1.407035E-01   9.362680E-02
  1.507538E-01   1.106310E-01
  1.608040E-01   1.291775E-01
  1.708543E-01   1.492622E-01
  1.809045E-01   1.708750E-01
  1.909548E-01   1.940006E-01
  2.010050E-01   2.186184E-01
  2.110553E-01   2.447030E-01
  2.211055E-01   2.722247E-01
  2.311558E-01   3.011494E-01
  2.412060E-01   3.314393E-01
  2.512563E-01   3.630530E-01
  2.613065E-01   3.959455E-01
  2.713568E-01   4.300688E-01
  2.814070E-01   4.653720E-01
  2.914573E-01   5.018012E-01
  3.015075E-01   5.393002E-01
  3.115578E-01   5.778103E-01
  3.216080E-01   6.172707E-01
  3.316583E-01   6.576185E-01
  3.417085E-01   6.987891E-01
  3.517588E-01   7.407159E-01
  3.618090E-01   7.833312E-01
  3.718593E-01   8.265655E-01
  3.819095E-01   8.703484E-01
  3.919598E-01   9.146081E-01
  4.020101E-01   9.592721E-01
  4.120603E-01   1.004267E+00
  4.221106E-01   1.049518E+00
  4.321608E-01   1.094952E+00
  4.422111E-01   1.140492E+00
  4.522613E-01   1.186063E+00
  4.623116E-01   1.231590E+00
  4.723618E-01   1.276997E+00
  4.824121E-01   1.322207E+00
  4.924623E-01   1.367145E+00
  5.025126E-01   1.411736E+00
  5.125628E-01   1.455905E+00
  5.226131E-01   1.499576E+00
  5.326633E-01   1.542676E+00
  5.427136E-01   1.585131E+00
  5.527638E-01   1.626868E+00
  5.628141E-01   1.667816E+00
  5.728643E-01   1.707903E+00
  5.829146E-01   1.747059E+00
  5.929648E-01   1.785216E+00
  6.030151E-01   1.822305E+00
  6.130653E-01   1.858261E+00
  6.231156E-01   1.893018E+00
  6.331658E-01   1.926513E+00
  6.432161E-01   1.958684E+00
  6.532663E-01   1.989471E+00
  6.633166E-01   2.018814E+00
  6.733668E-01   2.046659E+00
  6.834171E-01   2.072949E+00
  6.934673E-01   2.097632E+00
  7.035176E-01   2.120656E+00
  7.135678E-01   2.141974E+00
  7.236181E-01   2.161540E+00
  7.336683E-01   2.179308E+00
  7.437186E-01   2.195237E+00
  7.537688E-01   2.209288E+00
  7.638191E-01   2.221424E+00
  7.738693E-01   2.231612E+00
  7.839196E-01   2.239819E+00
  7.939698E-01   2.246018E+00
  8.040201E-01   2.250181E+00
  8.140704E-01   2.252287E+00
  8.241206E-01   2.252316E+00
  8.341709E-01   2.250250E+00
  8.442211E-01   2.246076E+00
  8.542714E-01   2.239783E+00
  8.643216E-01   2.231364E+00
  8.743719E-01   2.220816E+00
  8.844221E-01   2.208137E+00
  8.944724E-01   2.193331E+00
  9.045226E-01   2.176404E+00
  9.145729E-01   2.157366E+00
  9.246231E-01   2.136231E+00
  9.346734E-01   2.113017E+00
  9.447236E-01   2.087745E+00
  9.547739E-01   2.060440E+00
  9.648241E-01   2.031132E+00
  9.748744E-01   1.999853E+00
  9.849246E-01   1.966642E+00
  9.949749E-01   1.931540E+00
  1.005025E+00   1.894592E+00
  1.015075E+00   1.855848E+00
  1.025126E+00   1.815363E+00
  1.035176E+00   1.773196E+00
  1.045226E+00   1.729410E+00
  1.055276E+00   1.684072E+00
  1.065327E+00   1.637256E+00
  1.075377E+00   1.589038E+00
  1.085427E+00   1.539499E+00
  1.095477E+00   1.488728E+00
  1.105528E+00   1.436815E+00
  1.115578E+00   1.383857E+00
  1.125628E+00   1.329956E+00
  1.135678E+00   1.275217E+00
  1.145729E+00   1.219753E+00
  1.155779E+00   1.163680E+00
  1.165829E+00   1.107121E+00
  1.175879E+00   1.050203E+00
  1.185930E+00   9.930596E-01
