#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   3.700019E-04
  2.010050E-02   1.905552E-03
  3.015075E-02   4.942385E-03
  4.020101E-02   9.679618E-03
  5.025126E-02   1.625222E-02
  6.030151E-02   2.475452E-02
  7.035176E-02   3.525182E-02
  8.040201E-02   4.778721E-02
  9.045226E-02   6.238603E-02
  1.005025E-01   7.905897E-02
  1.105528E-01   9.780441E-02
  1.206030E-01   1.186101E-01
  1.306533E-01   1.414548E-01
  1.407035E-01   1.663089E-01
  1.507538E-01   1.931359E-01
  1.608040E-01   2.218929E-01
  1.708543E-01   2.525315E-01
  1.809045E-01   2.849980E-01
  1.909548E-01   3.192342E-01
  2.010050E-01   3.551779E-01
  2.110553E-01   3.927631E-01
  2.211055E-01   4.319204E-01
  2.311558E-01   4.725775E-01
  2.412060E-01   5.146593E-01
  2.512563E-01   5.580883E-01
  2.613065E-01   6.027847E-01
  2.713568E-01   6.486669E-01
  2.814070E-01   6.956514E-01
  2.914573E-01   7.436532E-01
  3.015075E-01   7.925860E-01
  3.115578E-01   8.423623E-01
  3.216080E-01   8.928935E-01
  3.316583E-01   9.440904E-01
  3.417085E-01   9.958628E-01
  3.517588E-01   1.048120E+00
  3.618090E-01   1.100771E+00
  3.718593E-01   1.153725E+00
  3.819095E-01   1.206890E+00
  3.919598E-01   1.260175E+00
  4.020101E-01   1.313487E+00
  4.120603E-01   1.366737E+00
  4.221106E-01   1.419833E+00
  4.321608E-01   1.472684E+00
  4.422111E-01   1.525202E+00
  4.522613E-01   1.577295E+00
  4.623116E-01   1.628876E+00
  4.723618E-01   1.679857E+00
  4.824121E-01   1.730151E+00
  4.924623E-01   1.779672E+00
  5.025126E-01   1.828335E+00
  5.125628E-01   1.876057E+00
  5.226131E-01   1.922755E+00
  5.326633E-01   1.968347E+00
  5.427136E-01   2.012756E+00
  5.527638E-01   2.055901E+00
  5.628141E-01   2.097707E+00
  5.728643E-01   2.138100E+00
  5.829146E-01   2.177005E+00
  5.929648E-01   2.214351E+00
  6.030151E-01   2.250070E+00
  6.130653E-01   2.284093E+00
  6.231156E-01   2.316356E+00
  6.331658E-01   2.346795E+00
  6.432161E-01   2.375350E+00
  6.532663E-01   2.401961E+00
  6.633166E-01   2.426572E+00
  6.733668E-01   2.449130E+00
  6.834171E-01   2.469584E+00
  6.934673E-01   2.487883E+00
  7.035176E-01   2.503984E+00
  7.135678E-01   2.517841E+00
  7.236181E-01   2.529415E+00
  7.336683E-01   2.538669E+00
  7.437186E-01   2.545567E+00
  7.537688E-01   2.550078E+00
  7.638191E-01   2.552175E+00
  7.738693E-01   2.551831E+00
  7.839196E-01   2.549025E+00
  7.939698E-01   2.543740E+00
  8.040201E-01   2.535959E+00
  8.140704E-01   2.525672E+00
  8.241206E-01   2.512871E+00
  8.341709E-01   2.497553E+00
  8.442211E-01   2.479717E+00
  8.542714E-01   2.459367E+00
  8.643216E-01   2.436512E+00
  8.743719E-01   2.411163E+00
  8.844221E-01   2.383337E+00
  8.944724E-01   2.353056E+00
  9.045226E-01   2.320343E+00
  9.145729E-01   2.285229E+00
  9.246231E-01   2.247749E+00
  9.346734E-01   2.207941E+00
  9.447236E-01   2.165851E+00
  9.547739E-01   2.121527E+00
  9.648241E-01   2.075024E+00
  9.748744E-01   2.026403E+00
  9.849246E-01   1.975729E+00
  9.949749E-01   1.923072E+00
  1.005025E+00   1.868511E+00
  1.015075E+00   1.812128E+00
  1.025126E+00   1.754013E+00
  1.035176E+00   1.694262E+00
  1.045226E+00   1.632976E+00
  1.055276E+00   1.570266E+00
  1.065327E+00   1.506247E+00
  1.075377E+00   1.441045E+00
  1.085427E+00   1.374790E+00
  1.095477E+00   1.307623E+00
  1.105528E+00   1.239691E+00
  1.115578E+00   1.171152E+00
  1.125628E+00   1.102172E+00
  1.135678E+00   1.032926E+00
  1.145729E+00   9.636021E-01
  1.155779E+00   8.943963E-01
  1.165829E+00   8.255178E-01
  1.175879E+00   7.571880E-01
  1.185930E+00   6.896416E-01
  1.195980E+00   6.231282E-01
  1.206030E+00   5.579128E-01
  1.216080E+00   4.942785E-01
  1.226131E+00   4.325274E-01
  1.236181E+00   3.729841E-01
  1.246231E+00   3.159980E-01
  1.256281E+00   2.619483E-01
  1.266332E+00   2.112488E-01
  1.276382E+00   1.643567E-01
  1.286432E+00   1.217837E-01
  1.296482E+00   8.411418E-02
  1.306533E+00   5.203717E-02
