#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   2.401976E-03
  2.010050E-02   8.596257E-03
  3.015075E-02   1.804096E-02
  4.020101E-02   3.042901E-02
  5.025126E-02   4.552884E-02
  6.030151E-02   6.314820E-02
  7.035176E-02   8.311933E-02
  8.040201E-02   1.052913E-01
  9.045226E-02   1.295257E-01
  1.005025E-01   1.556936E-01
  1.105528E-01   1.836739E-01
  1.206030E-01   2.133516E-01
  1.306533E-01   2.446173E-01
  1.407035E-01   2.773662E-01
  1.507538E-01   3.114974E-01
  1.608040E-01   3.469137E-01
  1.708543E-01   3.835208E-01
  1.809045E-01   4.212277E-01
  1.909548E-01   4.599457E-01
  2.010050E-01   4.995887E-01
  2.110553E-01   5.400727E-01
  2.211055E-01   5.813160E-01
  2.311558E-01   6.232388E-01
  2.412060E-01   6.657629E-01
  2.512563E-01   7.088123E-01
  2.613065E-01   7.523122E-01
  2.713568E-01   7.961896E-01
  2.814070E-01   8.403732E-01
  2.914573E-01   8.847929E-01
  3.015075E-01   9.293801E-01
  3.115578E-01   9.740675E-01
  3.216080E-01   1.018789E+00
  3.316583E-01   1.063481E+00
  3.417085E-01   1.108078E+00
  3.517588E-01   1.152520E+00
  3.618090E-01   1.196745E+00
  3.718593E-01   1.240694E+00
  3.819095E-01   1.284307E+00
  3.919598E-01   1.327527E+00
  4.020101E-01   1.370298E+00
  4.120603E-01   1.412565E+00
  4.221106E-01   1.454273E+00
  4.321608E-01   1.495368E+00
  4.422111E-01   1.535800E+00
  4.522613E-01   1.575517E+00
  4.623116E-01   1.614468E+00
  4.723618E-01   1.652606E+00
  4.824121E-01   1.689881E+00
  4.924623E-01   1.726248E+00
  5.025126E-01   1.761660E+00
  5.125628E-01   1.796072E+00
  5.226131E-01   1.829440E+00
  5.326633E-01   1.861723E+00
  5.427136E-01   1.892877E+00
  5.527638E-01   1.922863E+00
  5.628141E-01   1.951640E+00
  5.728643E-01   1.979171E+00
  5.829146E-01   2.005416E+00
  5.929648E-01   2.030340E+00
  6.030151E-01   2.053908E+00
  6.130653E-01   2.076084E+00
  6.231156E-01   2.096836E+00
  6.331658E-01   2.116130E+00
  6.432161E-01   2.133937E+00
  6.532663E-01   2.150226E+00
  6.633166E-01   2.164967E+00
  6.733668E-01   2.178134E+00
  6.834171E-01   2.189699E+00
  6.934673E-01   2.199638E+00
  7.035176E-01   2.207924E+00
  7.135678E-01   2.214537E+00
  7.236181E-01   2.219453E+00
  7.336683E-01   2.222652E+00
  7.437186E-01   2.224116E+00
