#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   4.127889E-04
  2.010050E-02   2.078743E-03
  3.015075E-02   5.322366E-03
  4.020101E-02   1.033027E-02
  5.025126E-02   1.722602E-02
  6.030151E-02   2.609394E-02
  7.035176E-02   3.699069E-02
  8.040201E-02   4.995202E-02
  9.045226E-02   6.499715E-02
  1.005025E-01   8.213183E-02
  1.105528E-01   1.013506E-01
  1.206030E-01   1.226383E-01
  1.306533E-01   1.459717E-01
  1.407035E-01   1.713205E-01
  1.507538E-01   1.986479E-01
  1.608040E-01   2.279118E-01
  1.708543E-01   2.590651E-01
  1.809045E-01   2.920565E-01
  1.909548E-01   3.268308E-01
  2.010050E-01   3.633293E-01
  2.110553E-01   4.014903E-01
  2.211055E-01   4.412492E-01
  2.311558E-01   4.825392E-01
  2.412060E-01   5.252911E-01
  2.512563E-01   5.694341E-01
  2.613065E-01   6.148952E-01
  2.713568E-01   6.616004E-01
  2.814070E-01   7.094740E-01
  2.914573E-01   7.584396E-01
  3.015075E-01   8.084193E-01
  3.115578E-01   8.593349E-01
  3.216080E-01   9.111072E-01
  3.316583E-01   9.636567E-01
  3.417085E-01   1.016903E+00
  3.517588E-01   1.070767E+00
  3.618090E-01   1.125166E+00
  3.718593E-01   1.180022E+00
  3.819095E-01   1.235253E+00
  3.919598E-01   1.290779E+00
  4.020101E-01   1.346520E+00
  4.120603E-01   1.402396E+00
  4.221106E-01   1.458328E+00
  4.321608E-01   1.514236E+00
  4.422111E-01   1.570044E+00
  4.522613E-01   1.625672E+00
  4.623116E-01   1.681045E+00
  4.723618E-01   1.736085E+00
  4.824121E-01   1.790718E+00
  4.924623E-01   1.844869E+00
  5.025126E-01   1.898465E+00
  5.125628E-01   1.951434E+00
  5.226131E-01   2.003704E+00
  5.326633E-01   2.055205E+00
  5.427136E-01   2.105868E+00
  5.527638E-01   2.155626E+00
  5.628141E-01   2.204413E+00
  5.728643E-01   2.252163E+00
  5.829146E-01   2.298814E+00
  5.929648E-01   2.344302E+00
  6.030151E-01   2.388569E+00
  6.130653E-01   2.431553E+00
  6.231156E-01   2.473200E+00
  6.331658E-01   2.513452E+00
  6.432161E-01   2.552256E+00
  6.532663E-01   2.589560E+00
  6.633166E-01   2.625312E+00
  6.733668E-01   2.659465E+00
  6.834171E-01   2.691972E+00
  6.934673E-01   2.722788E+00
  7.035176E-01   2.751869E+00
  7.135678E-01   2.779175E+00
  7.236181E-01   2.804667E+00
  7.336683E-01   2.828308E+00
  7.437186E-01   2.850062E+00
  7.537688E-01   2.869898E+00
