#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   3.527657E-04
  2.010050E-02   1.837838E-03
  3.015075E-02   4.797826E-03
  4.020101E-02   9.438340E-03
  5.025126E-02   1.589982E-02
  6.030151E-02   2.428113E-02
  7.035176E-02   3.465131E-02
  8.040201E-02   4.705655E-02
  9.045226E-02   6.152471E-02
  1.005025E-01   7.806856E-02
  1.105528E-01   9.668817E-02
  1.206030E-01   1.173727E-01
  1.306533E-01   1.401019E-01
  1.407035E-01   1.648473E-01
  1.507538E-01   1.915731E-01
  1.608040E-01   2.202372E-01
  1.708543E-01   2.507915E-01
  1.809045E-01   2.831831E-01
  1.909548E-01   3.173543E-01
  2.010050E-01   3.532435E-01
  2.110553E-01   3.907853E-01
  2.211055E-01   4.299111E-01
  2.311558E-01   4.705492E-01
  2.412060E-01   5.126255E-01
  2.512563E-01   5.560635E-01
  2.613065E-01   6.007846E-01
  2.713568E-01   6.467085E-01
  2.814070E-01   6.937531E-01
  2.914573E-01   7.418352E-01
  3.015075E-01   7.908702E-01
  3.115578E-01   8.407727E-01
  3.216080E-01   8.914564E-01
  3.316583E-01   9.428344E-01
  3.417085E-01   9.948193E-01
  3.517588E-01   1.047323E+00
  3.618090E-01   1.100259E+00
  3.718593E-01   1.153537E+00
  3.819095E-01   1.207071E+00
  3.919598E-01   1.260773E+00
  4.020101E-01   1.314555E+00
  4.120603E-01   1.368330E+00
  4.221106E-01   1.422012E+00
  4.321608E-01   1.475515E+00
  4.422111E-01   1.528755E+00
  4.522613E-01   1.581646E+00
  4.623116E-01   1.634106E+00
  4.723618E-01   1.686052E+00
  4.824121E-01   1.737403E+00
  4.924623E-01   1.788079E+00
  5.025126E-01   1.838002E+00
  5.125628E-01   1.887094E+00
  5.226131E-01   1.935279E+00
  5.326633E-01   1.982482E+00
  5.427136E-01   2.028631E+00
  5.527638E-01   2.073655E+00
  5.628141E-01   2.117483E+00
  5.728643E-01   2.160049E+00
  5.829146E-01   2.201286E+00
  5.929648E-01   2.241130E+00
  6.030151E-01   2.279519E+00
  6.130653E-01   2.316393E+00
  6.231156E-01   2.351693E+00
  6.331658E-01   2.385365E+00
  6.432161E-01   2.417354E+00
  6.532663E-01   2.447608E+00
  6.633166E-01   2.476079E+00
  6.733668E-01   2.502720E+00
  6.834171E-01   2.527486E+00
  6.934673E-01   2.550336E+00
  7.035176E-01   2.571229E+00
  7.135678E-01   2.590129E+00
  7.236181E-01   2.607001E+00
  7.336683E-01   2.621814E+00
  7.437186E-01   2.634537E+00
  7.537688E-01   2.645146E+00
  7.638191E-01   2.653616E+00
  7.738693E-01   2.659927E+00
  7.839196E-01   2.664059E+00
  7.939698E-01   2.665999E+00
  8.040201E-01   2.665733E+00
  8.140704E-01   2.663253E+00
  8.241206E-01   2.658552E+00
  8.341709E-01   2.651627E+00
  8.442211E-01   2.642477E+00
  8.542714E-01   2.631105E+00
  8.643216E-01   2.617518E+00
  8.743719E-01   2.601723E+00
  8.844221E-01   2.583734E+00
  8.944724E-01   2.563566E+00
  9.045226E-01   2.541237E+00
  9.145729E-01   2.516770E+00
  9.246231E-01   2.490190E+00
  9.346734E-01   2.461525E+00
  9.447236E-01   2.430808E+00
  9.547739E-01   2.398073E+00
  9.648241E-01   2.363359E+00
  9.748744E-01   2.326709E+00
  9.849246E-01   2.288168E+00
  9.949749E-01   2.247785E+00
  1.005025E+00   2.205614E+00
  1.015075E+00   2.161709E+00
  1.025126E+00   2.116130E+00
  1.035176E+00   2.068942E+00
  1.045226E+00   2.020210E+00
  1.055276E+00   1.970005E+00
  1.065327E+00   1.918400E+00
  1.075377E+00   1.865474E+00
  1.085427E+00   1.811308E+00
  1.095477E+00   1.755987E+00
  1.105528E+00   1.699598E+00
  1.115578E+00   1.642235E+00
  1.125628E+00   1.583993E+00
  1.135678E+00   1.524972E+00
  1.145729E+00   1.465275E+00
  1.155779E+00   1.405009E+00
  1.165829E+00   1.344284E+00
  1.175879E+00   1.283216E+00
  1.185930E+00   1.221921E+00
  1.195980E+00   1.160522E+00
  1.206030E+00   1.099143E+00
  1.216080E+00   1.037915E+00
  1.226131E+00   9.769694E-01
  1.236181E+00   9.164425E-01
  1.246231E+00   8.564744E-01
  1.256281E+00   7.972084E-01
  1.266332E+00   7.387914E-01
  1.276382E+00   6.813740E-01
  1.286432E+00   6.251098E-01
  1.296482E+00   5.701563E-01
  1.306533E+00   5.166737E-01
  1.316583E+00   4.648260E-01
  1.326633E+00   4.147798E-01
  1.336683E+00   3.667049E-01
  1.346734E+00   3.207739E-01
  1.356784E+00   2.771621E-01
  1.366834E+00   2.360471E-01
  1.376884E+00   1.976085E-01
  1.386935E+00   1.620280E-01
  1.396985E+00   1.294883E-01
  1.407035E+00   1.001727E-01
  1.417085E+00   7.426449E-02
  1.427136E+00   5.194542E-02
  1.437186E+00   3.339387E-02
  1.447236E+00   1.878176E-02
  1.457286E+00   8.268808E-03
  1.467337E+00   1.989400E-03
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
  1.889447E+00   0.000000E+00
  1.899497E+00   0.000000E+00
  1.909548E+00   0.000000E+00
  1.919598E+00   0.000000E+00
  1.929648E+00   0.000000E+00
  1.939698E+00   0.000000E+00
  1.949749E+00   0.000000E+00
  1.959799E+00   0.000000E+00
  1.969849E+00   0.000000E+00
  1.979899E+00   0.000000E+00
  1.989950E+00   0.000000E+00
  2.000000E+00   0.000000E+00
