#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   1.677895E-05
  2.010050E-02   1.224777E-04
  3.015075E-02   3.893260E-04
  4.020101E-02   8.804917E-04
  5.025126E-02   1.652357E-03
  6.030151E-02   2.755552E-03
  7.035176E-02   4.235585E-03
  8.040201E-02   6.133289E-03
  9.045226E-02   8.485157E-03
  1.005025E-01   1.132362E-02
  1.105528E-01   1.467729E-02
  1.206030E-01   1.857112E-02
  1.306533E-01   2.302662E-02
  1.407035E-01   2.806203E-02
  1.507538E-01   3.369241E-02
  1.608040E-01   3.992983E-02
  1.708543E-01   4.678346E-02
  1.809045E-01   5.425972E-02
  1.909548E-01   6.236237E-02
  2.010050E-01   7.109265E-02
  2.110553E-01   8.044935E-02
  2.211055E-01   9.042893E-02
  2.311558E-01   1.010256E-01
  2.412060E-01   1.122315E-01
  2.512563E-01   1.240365E-01
  2.613065E-01   1.364288E-01
  2.713568E-01   1.493946E-01
  2.814070E-01   1.629182E-01
  2.914573E-01   1.769824E-01
  3.015075E-01   1.915682E-01
  3.115578E-01   2.066552E-01
  3.216080E-01   2.222213E-01
  3.316583E-01   2.382433E-01
  3.417085E-01   2.546966E-01
  3.517588E-01   2.715552E-01
  3.618090E-01   2.887922E-01
  3.718593E-01   3.063793E-01
  3.819095E-01   3.242875E-01
  3.919598E-01   3.424867E-01
  4.020101E-01   3.609459E-01
  4.120603E-01   3.796333E-01
  4.221106E-01   3.985165E-01
  4.321608E-01   4.175622E-01
  4.422111E-01   4.367368E-01
  4.522613E-01   4.560060E-01
  4.623116E-01   4.753349E-01
  4.723618E-01   4.946884E-01
  4.824121E-01   5.140311E-01
  4.924623E-01   5.333271E-01
  5.025126E-01   5.525406E-01
  5.125628E-01   5.716354E-01
  5.226131E-01   5.905754E-01
  5.326633E-01   6.093243E-01
  5.427136E-01   6.278461E-01
  5.527638E-01   6.461048E-01
  5.628141E-01   6.640643E-01
  5.728643E-01   6.816893E-01
  5.829146E-01   6.989443E-01
  5.929648E-01   7.157944E-01
  6.030151E-01   7.322050E-01
  6.130653E-01   7.481421E-01
  6.231156E-01   7.635722E-01
  6.331658E-01   7.784622E-01
  6.432161E-01   7.927800E-01
  6.532663E-01   8.064938E-01
  6.633166E-01   8.195730E-01
  6.733668E-01   8.319875E-01
  6.834171E-01   8.437083E-01
  6.934673E-01   8.547071E-01
  7.035176E-01   8.649568E-01
  7.135678E-01   8.744313E-01
  7.236181E-01   8.831056E-01
  7.336683E-01   8.909558E-01
  7.437186E-01   8.979593E-01
  7.537688E-01   9.040947E-01
  7.638191E-01   9.093420E-01
  7.738693E-01   9.136825E-01
  7.839196E-01   9.170991E-01
  7.939698E-01   9.195760E-01
  8.040201E-01   9.210989E-01
  8.140704E-01   9.216554E-01
  8.241206E-01   9.212343E-01
  8.341709E-01   9.198266E-01
  8.442211E-01   9.174245E-01
  8.542714E-01   9.140225E-01
  8.643216E-01   9.096166E-01
  8.743719E-01   9.042048E-01
  8.844221E-01   8.977872E-01
  8.944724E-01   8.903656E-01
  9.045226E-01   8.819441E-01
  9.145729E-01   8.725289E-01
  9.246231E-01   8.621280E-01
  9.346734E-01   8.507520E-01
  9.447236E-01   8.384135E-01
  9.547739E-01   8.251275E-01
  9.648241E-01   8.109113E-01
  9.748744E-01   7.957844E-01
  9.849246E-01   7.797689E-01
  9.949749E-01   7.628894E-01
  1.005025E+00   7.451729E-01
  1.015075E+00   7.266489E-01
  1.025126E+00   7.073496E-01
  1.035176E+00   6.873097E-01
  1.045226E+00   6.665668E-01
  1.055276E+00   6.451609E-01
  1.065327E+00   6.231350E-01
  1.075377E+00   6.005347E-01
  1.085427E+00   5.774086E-01
  1.095477E+00   5.538078E-01
  1.105528E+00   5.297868E-01
  1.115578E+00   5.054025E-01
  1.125628E+00   4.807151E-01
  1.135678E+00   4.557876E-01
  1.145729E+00   4.306861E-01
  1.155779E+00   4.054796E-01
  1.165829E+00   3.802401E-01
  1.175879E+00   3.550429E-01
  1.185930E+00   3.299662E-01
  1.195980E+00   3.050911E-01
  1.206030E+00   2.805021E-01
  1.216080E+00   2.562865E-01
  1.226131E+00   2.325350E-01
  1.236181E+00   2.093409E-01
  1.246231E+00   1.868009E-01
  1.256281E+00   1.650144E-01
  1.266332E+00   1.440840E-01
  1.276382E+00   1.241148E-01
  1.286432E+00   1.052149E-01
  1.296482E+00   8.749493E-02
  1.306533E+00   7.106780E-02
  1.316583E+00   5.604869E-02
  1.326633E+00   4.255453E-02
  1.336683E+00   3.070348E-02
  1.346734E+00   2.061422E-02
  1.356784E+00   1.240461E-02
  1.366834E+00   6.189565E-03
  1.376884E+00   2.076432E-03
  1.386935E+00   1.520203E-04
  1.396985E+00   0.000000E+00
  1.407035E+00   0.000000E+00
  1.417085E+00   0.000000E+00
  1.427136E+00   0.000000E+00
  1.437186E+00   0.000000E+00
  1.447236E+00   0.000000E+00
  1.457286E+00   0.000000E+00
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
  1.889447E+00   0.000000E+00
  1.899497E+00   0.000000E+00
  1.909548E+00   0.000000E+00
  1.919598E+00   0.000000E+00
  1.929648E+00   0.000000E+00
  1.939698E+00   0.000000E+00
  1.949749E+00   0.000000E+00
  1.959799E+00   0.000000E+00
  1.969849E+00   0.000000E+00
  1.979899E+00   0.000000E+00
  1.989950E+00   0.000000E+00
  2.000000E+00   0.000000E+00
