#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   2.480131E-04
  2.010050E-02   1.234439E-03
  3.015075E-02   3.139199E-03
  4.020101E-02   6.063674E-03
  5.025126E-02   1.007373E-02
  6.030151E-02   1.521322E-02
  7.035176E-02   2.151054E-02
  8.040201E-02   2.898241E-02
  9.045226E-02   3.763633E-02
  1.005025E-01   4.747228E-02
  1.105528E-01   5.848393E-02
  1.206030E-01   7.065964E-02
  1.306533E-01   8.398313E-02
  1.407035E-01   9.843410E-02
  1.507538E-01   1.139887E-01
  1.608040E-01   1.306201E-01
  1.708543E-01   1.482985E-01
  1.809045E-01   1.669917E-01
  1.909548E-01   1.866654E-01
  2.010050E-01   2.072830E-01
  2.110553E-01   2.288066E-01
  2.211055E-01   2.511962E-01
  2.311558E-01   2.744106E-01
  2.412060E-01   2.984073E-01
  2.512563E-01   3.231427E-01
  2.613065E-01   3.485721E-01
  2.713568E-01   3.746497E-01
  2.814070E-01   4.013292E-01
  2.914573E-01   4.285634E-01
  3.015075E-01   4.563046E-01
  3.115578E-01   4.845044E-01
  3.216080E-01   5.131140E-01
  3.316583E-01   5.420844E-01
  3.417085E-01   5.713661E-01
  3.517588E-01   6.009095E-01
  3.618090E-01   6.306646E-01
  3.718593E-01   6.605816E-01
  3.819095E-01   6.906104E-01
  3.919598E-01   7.207012E-01
  4.020101E-01   7.508041E-01
  4.120603E-01   7.808693E-01
  4.221106E-01   8.108471E-01
  4.321608E-01   8.406884E-01
  4.422111E-01   8.703440E-01
  4.522613E-01   8.997652E-01
  4.623116E-01   9.289037E-01
  4.723618E-01   9.577115E-01
  4.824121E-01   9.861412E-01
  4.924623E-01   1.014146E+00
  5.025126E-01   1.041679E+00
  5.125628E-01   1.068695E+00
  5.226131E-01   1.095149E+00
  5.326633E-01   1.120995E+00
  5.427136E-01   1.146192E+00
  5.527638E-01   1.170694E+00
  5.628141E-01   1.194461E+00
  5.728643E-01   1.217451E+00
  5.829146E-01   1.239624E+00
  5.929648E-01   1.260940E+00
  6.030151E-01   1.281360E+00
  6.130653E-01   1.300847E+00
  6.231156E-01   1.319364E+00
  6.331658E-01   1.336877E+00
  6.432161E-01   1.353350E+00
  6.532663E-01   1.368751E+00
  6.633166E-01   1.383048E+00
  6.733668E-01   1.396209E+00
  6.834171E-01   1.408206E+00
  6.934673E-01   1.419011E+00
  7.035176E-01   1.428596E+00
  7.135678E-01   1.436936E+00
  7.236181E-01   1.444008E+00
  7.336683E-01   1.449789E+00
  7.437186E-01   1.454258E+00
  7.537688E-01   1.457396E+00
  7.638191E-01   1.459185E+00
  7.738693E-01   1.459610E+00
  7.839196E-01   1.458655E+00
  7.939698E-01   1.456309E+00
  8.040201E-01   1.452560E+00
  8.140704E-01   1.447400E+00
  8.241206E-01   1.440822E+00
