#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   0.000000E+00
  3.015075E-02   0.000000E+00
  4.020101E-02   0.000000E+00
  5.025126E-02   3.320972E-06
  6.030151E-02   1.197857E-03
  7.035176E-02   4.407472E-03
  8.040201E-02   9.514570E-03
  9.045226E-02   1.642659E-02
  1.005025E-01   2.506052E-02
  1.105528E-01   3.533882E-02
  1.206030E-01   4.718768E-02
  1.306533E-01   6.053609E-02
  1.407035E-01   7.531524E-02
  1.507538E-01   9.145821E-02
  1.608040E-01   1.088997E-01
  1.708543E-01   1.275758E-01
  1.809045E-01   1.474239E-01
  1.909548E-01   1.683828E-01
  2.010050E-01   1.903920E-01
  2.110553E-01   2.133925E-01
  2.211055E-01   2.373260E-01
  2.311558E-01   2.621353E-01
  2.412060E-01   2.877642E-01
  2.512563E-01   3.141571E-01
  2.613065E-01   3.412596E-01
  2.713568E-01   3.690180E-01
  2.814070E-01   3.973795E-01
  2.914573E-01   4.262920E-01
  3.015075E-01   4.557044E-01
  3.115578E-01   4.855662E-01
  3.216080E-01   5.158278E-01
  3.316583E-01   5.464404E-01
  3.417085E-01   5.773559E-01
  3.517588E-01   6.085270E-01
  3.618090E-01   6.399071E-01
  3.718593E-01   6.714505E-01
  3.819095E-01   7.031121E-01
  3.919598E-01   7.348476E-01
  4.020101E-01   7.666135E-01
  4.120603E-01   7.983670E-01
  4.221106E-01   8.300661E-01
  4.321608E-01   8.616694E-01
  4.422111E-01   8.931363E-01
  4.522613E-01   9.244272E-01
  4.623116E-01   9.555028E-01
  4.723618E-01   9.863248E-01
  4.824121E-01   1.016856E+00
  4.924623E-01   1.047059E+00
  5.025126E-01   1.076897E+00
  5.125628E-01   1.106337E+00
  5.226131E-01   1.135342E+00
  5.326633E-01   1.163880E+00
  5.427136E-01   1.191916E+00
  5.527638E-01   1.219419E+00
  5.628141E-01   1.246357E+00
  5.728643E-01   1.272700E+00
  5.829146E-01   1.298417E+00
  5.929648E-01   1.323478E+00
  6.030151E-01   1.347857E+00
  6.130653E-01   1.371524E+00
  6.231156E-01   1.394453E+00
  6.331658E-01   1.416618E+00
  6.432161E-01   1.437993E+00
  6.532663E-01   1.458553E+00
  6.633166E-01   1.478276E+00
  6.733668E-01   1.497139E+00
  6.834171E-01   1.515118E+00
  6.934673E-01   1.532192E+00
  7.035176E-01   1.548343E+00
  7.135678E-01   1.563548E+00
  7.236181E-01   1.577791E+00
  7.336683E-01   1.591052E+00
  7.437186E-01   1.603315E+00
  7.537688E-01   1.614564E+00
  7.638191E-01   1.624782E+00
  7.738693E-01   1.633957E+00
  7.839196E-01   1.642073E+00
  7.939698E-01   1.649119E+00
  8.040201E-01   1.655083E+00
  8.140704E-01   1.659953E+00
  8.241206E-01   1.663720E+00
  8.341709E-01   1.666375E+00
  8.442211E-01   1.667909E+00
  8.542714E-01   1.668316E+00
  8.643216E-01   1.667590E+00
  8.743719E-01   1.665724E+00
  8.844221E-01   1.662716E+00
  8.944724E-01   1.658562E+00
  9.045226E-01   1.653260E+00
