#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   3.637607E-05
  2.010050E-02   6.621956E-04
  3.015075E-02   2.251531E-03
  4.020101E-02   4.929255E-03
  5.025126E-02   8.765392E-03
  6.030151E-02   1.380150E-02
  7.035176E-02   2.006091E-02
  8.040201E-02   2.755398E-02
  9.045226E-02   3.628128E-02
  1.005025E-01   4.623569E-02
  1.105528E-01   5.740387E-02
  1.206030E-01   6.976729E-02
  1.306533E-01   8.330312E-02
  1.407035E-01   9.798484E-02
  1.507538E-01   1.137828E-01
  1.608040E-01   1.306645E-01
  1.708543E-01   1.485953E-01
  1.809045E-01   1.675383E-01
  1.909548E-01   1.874548E-01
  2.010050E-01   2.083047E-01
  2.110553E-01   2.300465E-01
  2.211055E-01   2.526373E-01
  2.311558E-01   2.760334E-01
  2.412060E-01   3.001901E-01
  2.512563E-01   3.250620E-01
  2.613065E-01   3.506029E-01
  2.713568E-01   3.767663E-01
  2.814070E-01   4.035052E-01
  2.914573E-01   4.307721E-01
  3.015075E-01   4.585193E-01
  3.115578E-01   4.866991E-01
  3.216080E-01   5.152635E-01
  3.316583E-01   5.441645E-01
  3.417085E-01   5.733541E-01
  3.517588E-01   6.027845E-01
  3.618090E-01   6.324079E-01
  3.718593E-01   6.621767E-01
  3.819095E-01   6.920436E-01
  3.919598E-01   7.219618E-01
  4.020101E-01   7.518844E-01
  4.120603E-01   7.817652E-01
  4.221106E-01   8.115584E-01
  4.321608E-01   8.412186E-01
  4.422111E-01   8.707009E-01
  4.522613E-01   8.999610E-01
  4.623116E-01   9.289552E-01
  4.723618E-01   9.576404E-01
  4.824121E-01   9.859741E-01
  4.924623E-01   1.013915E+00
  5.025126E-01   1.041421E+00
  5.125628E-01   1.068452E+00
  5.226131E-01   1.094970E+00
  5.326633E-01   1.120934E+00
  5.427136E-01   1.146308E+00
  5.527638E-01   1.171054E+00
  5.628141E-01   1.195136E+00
  5.728643E-01   1.218520E+00
  5.829146E-01   1.241169E+00
  5.929648E-01   1.263053E+00
  6.030151E-01   1.284137E+00
  6.130653E-01   1.304392E+00
  6.231156E-01   1.323786E+00
  6.331658E-01   1.342291E+00
  6.432161E-01   1.359878E+00
  6.532663E-01   1.376521E+00
  6.633166E-01   1.392193E+00
  6.733668E-01   1.406871E+00
  6.834171E-01   1.420530E+00
  6.934673E-01   1.433148E+00
  7.035176E-01   1.444705E+00
