#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   1.104560E-04
  2.010050E-02   5.725307E-04
  3.015075E-02   1.491503E-03
  4.020101E-02   2.931553E-03
  5.025126E-02   4.937548E-03
  6.030151E-02   7.542111E-03
  7.035176E-02   1.076911E-02
  8.040201E-02   1.463568E-02
  9.045226E-02   1.915358E-02
  1.005025E-01   2.433013E-02
  1.105528E-01   3.016885E-02
  1.206030E-01   3.667002E-02
  1.306533E-01   4.383110E-02
  1.407035E-01   5.164701E-02
  1.507538E-01   6.011048E-02
  1.608040E-01   6.921221E-02
  1.708543E-01   7.894110E-02
  1.809045E-01   8.928444E-02
  1.909548E-01   1.002280E-01
  2.010050E-01   1.117563E-01
  2.110553E-01   1.238524E-01
  2.211055E-01   1.364984E-01
  2.311558E-01   1.496755E-01
  2.412060E-01   1.633635E-01
  2.512563E-01   1.775417E-01
  2.613065E-01   1.921886E-01
  2.713568E-01   2.072817E-01
  2.814070E-01   2.227981E-01
  2.914573E-01   2.387141E-01
  3.015075E-01   2.550055E-01
  3.115578E-01   2.716475E-01
  3.216080E-01   2.886150E-01
  3.316583E-01   3.058824E-01
  3.417085E-01   3.234238E-01
  3.517588E-01   3.412126E-01
  3.618090E-01   3.592225E-01
  3.718593E-01   3.774264E-01
  3.819095E-01   3.957973E-01
  3.919598E-01   4.143079E-01
  4.020101E-01   4.329307E-01
  4.120603E-01   4.516381E-01
  4.221106E-01   4.704025E-01
  4.321608E-01   4.891962E-01
  4.422111E-01   5.079913E-01
  4.522613E-01   5.267600E-01
  4.623116E-01   5.454747E-01
  4.723618E-01   5.641075E-01
  4.824121E-01   5.826309E-01
  4.924623E-01   6.010172E-01
  5.025126E-01   6.192392E-01
  5.125628E-01   6.372695E-01
  5.226131E-01   6.550809E-01
  5.326633E-01   6.726467E-01
  5.427136E-01   6.899401E-01
  5.527638E-01   7.069348E-01
  5.628141E-01   7.236045E-01
  5.728643E-01   7.399233E-01
  5.829146E-01   7.558658E-01
  5.929648E-01   7.714067E-01
  6.030151E-01   7.865212E-01
  6.130653E-01   8.011848E-01
  6.231156E-01   8.153734E-01
  6.331658E-01   8.290634E-01
  6.432161E-01   8.422316E-01
  6.532663E-01   8.548554E-01
  6.633166E-01   8.669124E-01
  6.733668E-01   8.783811E-01
  6.834171E-01   8.892403E-01
  6.934673E-01   8.994693E-01
  7.035176E-01   9.090483E-01
  7.135678E-01   9.179578E-01
  7.236181E-01   9.261791E-01
  7.336683E-01   9.336941E-01
  7.437186E-01   9.404855E-01
  7.537688E-01   9.465365E-01
  7.638191E-01   9.518311E-01
  7.738693E-01   9.563543E-01
  7.839196E-01   9.600916E-01
  7.939698E-01   9.630294E-01
  8.040201E-01   9.651549E-01
  8.140704E-01   9.664564E-01
  8.241206E-01   9.669227E-01
  8.341709E-01   9.665439E-01
  8.442211E-01   9.653108E-01
  8.542714E-01   9.632152E-01
  8.643216E-01   9.602502E-01
  8.743719E-01   9.564096E-01
  8.844221E-01   9.516884E-01
  8.944724E-01   9.460828E-01
  9.045226E-01   9.395901E-01
  9.145729E-01   9.322087E-01
  9.246231E-01   9.239384E-01
  9.346734E-01   9.147801E-01
  9.447236E-01   9.047360E-01
  9.547739E-01   8.938099E-01
  9.648241E-01   8.820067E-01
  9.748744E-01   8.693330E-01
  9.849246E-01   8.557966E-01
  9.949749E-01   8.414071E-01
  1.005025E+00   8.261757E-01
  1.015075E+00   8.101151E-01
  1.025126E+00   7.932398E-01
  1.035176E+00   7.755662E-01
  1.045226E+00   7.571123E-01
  1.055276E+00   7.378984E-01
  1.065327E+00   7.179466E-01
  1.075377E+00   6.972811E-01
  1.085427E+00   6.759283E-01
  1.095477E+00   6.539171E-01
  1.105528E+00   6.312786E-01
  1.115578E+00   6.080465E-01
  1.125628E+00   5.842572E-01
  1.135678E+00   5.599500E-01
  1.145729E+00   5.351670E-01
  1.155779E+00   5.099535E-01
  1.165829E+00   4.843583E-01
  1.175879E+00   4.584338E-01
  1.185930E+00   4.322359E-01
  1.195980E+00   4.058251E-01
  1.206030E+00   3.792660E-01
  1.216080E+00   3.526282E-01
  1.226131E+00   3.259866E-01
  1.236181E+00   2.994219E-01
  1.246231E+00   2.730213E-01
  1.256281E+00   2.468791E-01
  1.266332E+00   2.210978E-01
  1.276382E+00   1.957892E-01
  1.286432E+00   1.710760E-01
  1.296482E+00   1.470932E-01
  1.306533E+00   1.239914E-01
  1.316583E+00   1.019396E-01
  1.326633E+00   8.113052E-02
  1.336683E+00   6.178788E-02
  1.346734E+00   4.417834E-02
  1.356784E+00   2.863219E-02
  1.366834E+00   1.558467E-02
  1.376884E+00   5.678312E-03
  1.386935E+00   1.939764E-04
  1.396985E+00   0.000000E+00
  1.407035E+00   0.000000E+00
  1.417085E+00   0.000000E+00
  1.427136E+00   0.000000E+00
  1.437186E+00   0.000000E+00
  1.447236E+00   0.000000E+00
  1.457286E+00   0.000000E+00
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
