#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   8.352595E-04
  2.010050E-02   3.331740E-03
  3.015075E-02   7.474332E-03
  4.020101E-02   1.324638E-02
  5.025126E-02   2.062971E-02
  6.030151E-02   2.960458E-02
  7.035176E-02   4.014978E-02
  8.040201E-02   5.224256E-02
  9.045226E-02   6.585871E-02
  1.005025E-01   8.097254E-02
  1.105528E-01   9.755692E-02
  1.206030E-01   1.155833E-01
  1.306533E-01   1.350216E-01
  1.407035E-01   1.558407E-01
  1.507538E-01   1.780077E-01
  1.608040E-01   2.014886E-01
  1.708543E-01   2.262482E-01
  1.809045E-01   2.522499E-01
  1.909548E-01   2.794558E-01
  2.010050E-01   3.078269E-01
  2.110553E-01   3.373232E-01
  2.211055E-01   3.679032E-01
  2.311558E-01   3.995246E-01
  2.412060E-01   4.321440E-01
  2.512563E-01   4.657170E-01
  2.613065E-01   5.001980E-01
  2.713568E-01   5.355407E-01
  2.814070E-01   5.716978E-01
  2.914573E-01   6.086213E-01
  3.015075E-01   6.462621E-01
  3.115578E-01   6.845706E-01
  3.216080E-01   7.234962E-01
  3.316583E-01   7.629879E-01
  3.417085E-01   8.029937E-01
  3.517588E-01   8.434612E-01
  3.618090E-01   8.843374E-01
  3.718593E-01   9.255687E-01
  3.819095E-01   9.671011E-01
  3.919598E-01   1.008880E+00
  4.020101E-01   1.050850E+00
  4.120603E-01   1.092957E+00
  4.221106E-01   1.135144E+00
  4.321608E-01   1.177355E+00
  4.422111E-01   1.219535E+00
  4.522613E-01   1.261626E+00
  4.623116E-01   1.303573E+00
  4.723618E-01   1.345317E+00
  4.824121E-01   1.386802E+00
  4.924623E-01   1.427972E+00
  5.025126E-01   1.468768E+00
  5.125628E-01   1.509133E+00
  5.226131E-01   1.549012E+00
  5.326633E-01   1.588345E+00
  5.427136E-01   1.627077E+00
  5.527638E-01   1.665150E+00
  5.628141E-01   1.702509E+00
  5.728643E-01   1.739095E+00
  5.829146E-01   1.774854E+00
  5.929648E-01   1.809728E+00
  6.030151E-01   1.843664E+00
  6.130653E-01   1.876604E+00
  6.231156E-01   1.908495E+00
  6.331658E-01   1.939282E+00
  6.432161E-01   1.968912E+00
  6.532663E-01   1.997331E+00
  6.633166E-01   2.024486E+00
  6.733668E-01   2.050326E+00
  6.834171E-01   2.074800E+00
  6.934673E-01   2.097857E+00
  7.035176E-01   2.119448E+00
  7.135678E-01   2.139524E+00
  7.236181E-01   2.158038E+00
  7.336683E-01   2.174944E+00
  7.437186E-01   2.190197E+00
  7.537688E-01   2.203753E+00
  7.638191E-01   2.215570E+00
  7.738693E-01   2.225606E+00
  7.839196E-01   2.233823E+00
  7.939698E-01   2.240183E+00
  8.040201E-01   2.244651E+00
  8.140704E-01   2.247193E+00
  8.241206E-01   2.247777E+00
  8.341709E-01   2.246375E+00
  8.442211E-01   2.242959E+00
  8.542714E-01   2.237506E+00
  8.643216E-01   2.229993E+00
  8.743719E-01   2.220403E+00
  8.844221E-01   2.208720E+00
  8.944724E-01   2.194931E+00
  9.045226E-01   2.179028E+00
  9.145729E-01   2.161006E+00
  9.246231E-01   2.140864E+00
  9.346734E-01   2.118604E+00
  9.447236E-01   2.094234E+00
  9.547739E-01   2.067766E+00
  9.648241E-01   2.039215E+00
  9.748744E-01   2.008604E+00
  9.849246E-01   1.975958E+00
  9.949749E-01   1.941309E+00
  1.005025E+00   1.904695E+00
  1.015075E+00   1.866159E+00
  1.025126E+00   1.825750E+00
  1.035176E+00   1.783523E+00
  1.045226E+00   1.739540E+00
  1.055276E+00   1.693869E+00
  1.065327E+00   1.646585E+00
  1.075377E+00   1.597770E+00
  1.085427E+00   1.547511E+00
  1.095477E+00   1.495905E+00
  1.105528E+00   1.443054E+00
  1.115578E+00   1.389068E+00
  1.125628E+00   1.334063E+00
  1.135678E+00   1.278162E+00
  1.145729E+00   1.221498E+00
  1.155779E+00   1.164206E+00
  1.165829E+00   1.106431E+00
  1.175879E+00   1.048324E+00
  1.185930E+00   9.900408E-01
  1.195980E+00   9.317445E-01
  1.206030E+00   8.736030E-01
  1.216080E+00   8.157895E-01
  1.226131E+00   7.584816E-01
  1.236181E+00   7.018614E-01
  1.246231E+00   6.461141E-01
  1.256281E+00   5.914280E-01
  1.266332E+00   5.379939E-01
  1.276382E+00   4.860038E-01
  1.286432E+00   4.356506E-01
  1.296482E+00   3.871274E-01
  1.306533E+00   3.406262E-01
  1.316583E+00   2.963376E-01
  1.326633E+00   2.544496E-01
  1.336683E+00   2.151468E-01
  1.346734E+00   1.786098E-01
  1.356784E+00   1.450136E-01
  1.366834E+00   1.145277E-01
  1.376884E+00   8.731452E-02
  1.386935E+00   6.352880E-02
  1.396985E+00   4.331694E-02
  1.407035E+00   2.681611E-02
  1.417085E+00   1.415362E-02
  1.427136E+00   5.446261E-03
  1.437186E+00   7.997331E-04
  1.447236E+00   0.000000E+00
  1.457286E+00   0.000000E+00
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
  1.889447E+00   0.000000E+00
  1.899497E+00   0.000000E+00
  1.909548E+00   0.000000E+00
  1.919598E+00   0.000000E+00
  1.929648E+00   0.000000E+00
  1.939698E+00   0.000000E+00
  1.949749E+00   0.000000E+00
  1.959799E+00   0.000000E+00
  1.969849E+00   0.000000E+00
  1.979899E+00   0.000000E+00
  1.989950E+00   0.000000E+00
  2.000000E+00   0.000000E+00
