#     kf [fm-1]   Gap Fit [MeV] 
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   6.423156E-07
  3.015075E-02   1.263745E-03
  4.020101E-02   4.927033E-03
  5.025126E-02   1.096621E-02
  6.030151E-02   1.935354E-02
  7.035176E-02   3.005790E-02
  8.040201E-02   4.304484E-02
  9.045226E-02   5.827659E-02
  1.005025E-01   7.571218E-02
  1.105528E-01   9.530748E-02
  1.206030E-01   1.170153E-01
  1.306533E-01   1.407854E-01
  1.407035E-01   1.665647E-01
  1.507538E-01   1.942974E-01
  1.608040E-01   2.239248E-01
  1.708543E-01   2.553859E-01
  1.809045E-01   2.886169E-01
  1.909548E-01   3.235520E-01
  2.010050E-01   3.601230E-01
  2.110553E-01   3.982596E-01
  2.211055E-01   4.378896E-01
  2.311558E-01   4.789389E-01
  2.412060E-01   5.213316E-01
  2.512563E-01   5.649906E-01
  2.613065E-01   6.098369E-01
  2.713568E-01   6.557905E-01
  2.814070E-01   7.027701E-01
  2.914573E-01   7.506934E-01
  3.015075E-01   7.994771E-01
  3.115578E-01   8.490373E-01
  3.216080E-01   8.992892E-01
  3.316583E-01   9.501475E-01
  3.417085E-01   1.001527E+00
  3.517588E-01   1.053341E+00
  3.618090E-01   1.105503E+00
  3.718593E-01   1.157928E+00
  3.819095E-01   1.210529E+00
  3.919598E-01   1.263219E+00
  4.020101E-01   1.315914E+00
  4.120603E-01   1.368526E+00
  4.221106E-01   1.420972E+00
  4.321608E-01   1.473165E+00
  4.422111E-01   1.525022E+00
  4.522613E-01   1.576459E+00
  4.623116E-01   1.627392E+00
  4.723618E-01   1.677740E+00
  4.824121E-01   1.727421E+00
  4.924623E-01   1.776354E+00
  5.025126E-01   1.824460E+00
  5.125628E-01   1.871660E+00
  5.226131E-01   1.917876E+00
  5.326633E-01   1.963031E+00
  5.427136E-01   2.007050E+00
  5.527638E-01   2.049859E+00
  5.628141E-01   2.091384E+00
  5.728643E-01   2.131554E+00
  5.829146E-01   2.170298E+00
  5.929648E-01   2.207546E+00
  6.030151E-01   2.243231E+00
  6.130653E-01   2.277286E+00
  6.231156E-01   2.309647E+00
  6.331658E-01   2.340250E+00
  6.432161E-01   2.369033E+00
  6.532663E-01   2.395936E+00
  6.633166E-01   2.420900E+00
  6.733668E-01   2.443870E+00
  6.834171E-01   2.464790E+00
  6.934673E-01   2.483607E+00
  7.035176E-01   2.500271E+00
  7.135678E-01   2.514732E+00
  7.236181E-01   2.526945E+00
  7.336683E-01   2.536865E+00
  7.437186E-01   2.544450E+00
  7.537688E-01   2.549661E+00
  7.638191E-01   2.552462E+00
  7.738693E-01   2.552819E+00
  7.839196E-01   2.550702E+00
  7.939698E-01   2.546082E+00
  8.040201E-01   2.538937E+00
  8.140704E-01   2.529244E+00
  8.241206E-01   2.516989E+00
  8.341709E-01   2.502157E+00
  8.442211E-01   2.484739E+00
  8.542714E-01   2.464733E+00
  8.643216E-01   2.442137E+00
  8.743719E-01   2.416957E+00
  8.844221E-01   2.389204E+00
  8.944724E-01   2.358893E+00
