#     kf [fm-1]   Gap Fit [MeV] 
  0.000000E+00   0.000000E+00
  1.005025E-02   1.437740E-03
  2.010050E-02   5.738606E-03
  3.015075E-02   1.287582E-02
  4.020101E-02   2.281176E-02
  5.025126E-02   3.549830E-02
  6.030151E-02   5.087714E-02
  7.035176E-02   6.888033E-02
  8.040201E-02   8.943079E-02
  9.045226E-02   1.124430E-01
  1.005025E-01   1.378234E-01
  1.105528E-01   1.654718E-01
  1.206030E-01   1.952812E-01
  1.306533E-01   2.271395E-01
  1.407035E-01   2.609296E-01
  1.507538E-01   2.965308E-01
  1.608040E-01   3.338190E-01
  1.708543E-01   3.726681E-01
  1.809045E-01   4.129505E-01
  1.909548E-01   4.545377E-01
  2.010050E-01   4.973014E-01
  2.110553E-01   5.411137E-01
  2.211055E-01   5.858481E-01
  2.311558E-01   6.313798E-01
  2.412060E-01   6.775866E-01
  2.512563E-01   7.243487E-01
  2.613065E-01   7.715499E-01
  2.713568E-01   8.190770E-01
  2.814070E-01   8.668212E-01
  2.914573E-01   9.146774E-01
  3.015075E-01   9.625449E-01
  3.115578E-01   1.010327E+00
  3.216080E-01   1.057932E+00
  3.316583E-01   1.105273E+00
  3.417085E-01   1.152267E+00
  3.517588E-01   1.198835E+00
  3.618090E-01   1.244903E+00
  3.718593E-01   1.290403E+00
  3.819095E-01   1.335268E+00
  3.919598E-01   1.379439E+00
  4.020101E-01   1.422857E+00
  4.120603E-01   1.465470E+00
  4.221106E-01   1.507228E+00
  4.321608E-01   1.548085E+00
  4.422111E-01   1.587998E+00
  4.522613E-01   1.626929E+00
  4.623116E-01   1.664839E+00
  4.723618E-01   1.701696E+00
  4.824121E-01   1.737468E+00
  4.924623E-01   1.772126E+00
  5.025126E-01   1.805642E+00
  5.125628E-01   1.837993E+00
  5.226131E-01   1.869154E+00
  5.326633E-01   1.899105E+00
  5.427136E-01   1.927824E+00
  5.527638E-01   1.955293E+00
  5.628141E-01   1.981494E+00
  5.728643E-01   2.006411E+00
  5.829146E-01   2.030026E+00
  5.929648E-01   2.052325E+00
  6.030151E-01   2.073292E+00
  6.130653E-01   2.092912E+00
  6.231156E-01   2.111172E+00
  6.331658E-01   2.128056E+00
  6.432161E-01   2.143550E+00
  6.532663E-01   2.157641E+00
  6.633166E-01   2.170313E+00
  6.733668E-01   2.181552E+00
  6.834171E-01   2.191342E+00
  6.934673E-01   2.199668E+00
  7.035176E-01   2.206515E+00
  7.135678E-01   2.211864E+00
  7.236181E-01   2.215701E+00
  7.336683E-01   2.218006E+00
  7.437186E-01   2.218761E+00
  7.537688E-01   2.217949E+00
  7.638191E-01   2.215548E+00
  7.738693E-01   2.211540E+00
  7.839196E-01   2.205903E+00
  7.939698E-01   2.198617E+00
  8.040201E-01   2.189659E+00
  8.140704E-01   2.179007E+00
  8.241206E-01   2.166640E+00
  8.341709E-01   2.152535E+00
  8.442211E-01   2.136668E+00
  8.542714E-01   2.119018E+00
  8.643216E-01   2.099562E+00
  8.743719E-01   2.078279E+00
  8.844221E-01   2.055148E+00
  8.944724E-01   2.030149E+00
  9.045226E-01   2.003264E+00
  9.145729E-01   1.974477E+00
  9.246231E-01   1.943772E+00
  9.346734E-01   1.911140E+00
  9.447236E-01   1.876571E+00
  9.547739E-01   1.840062E+00
  9.648241E-01   1.801611E+00
  9.748744E-01   1.761226E+00
  9.849246E-01   1.718916E+00
  9.949749E-01   1.674701E+00
  1.005025E+00   1.628604E+00
  1.015075E+00   1.580661E+00
  1.025126E+00   1.530916E+00
  1.035176E+00   1.479422E+00
  1.045226E+00   1.426244E+00
  1.055276E+00   1.371463E+00
  1.065327E+00   1.315168E+00
  1.075377E+00   1.257469E+00
  1.085427E+00   1.198486E+00
  1.095477E+00   1.138361E+00
  1.105528E+00   1.077249E+00
  1.115578E+00   1.015327E+00
  1.125628E+00   9.527886E-01
  1.135678E+00   8.898484E-01
  1.145729E+00   8.267394E-01
  1.155779E+00   7.637142E-01
  1.165829E+00   7.010442E-01
  1.175879E+00   6.390185E-01
  1.185930E+00   5.779431E-01
  1.195980E+00   5.181385E-01
  1.206030E+00   4.599379E-01
  1.216080E+00   4.036844E-01
  1.226131E+00   3.497280E-01
  1.236181E+00   2.984216E-01
  1.246231E+00   2.501175E-01
  1.256281E+00   2.051628E-01
  1.266332E+00   1.638948E-01
  1.276382E+00   1.266363E-01
  1.286432E+00   9.369070E-02
  1.296482E+00   6.533748E-02
  1.306533E+00   4.182749E-02
  1.316583E+00   2.337880E-02
  1.326633E+00   1.017305E-02
  1.336683E+00   2.352302E-03
  1.346734E+00   0.000000E+00
  1.356784E+00   0.000000E+00
  1.366834E+00   0.000000E+00
  1.376884E+00   0.000000E+00
  1.386935E+00   0.000000E+00
  1.396985E+00   0.000000E+00
  1.407035E+00   0.000000E+00
  1.417085E+00   0.000000E+00
  1.427136E+00   0.000000E+00
  1.437186E+00   0.000000E+00
  1.447236E+00   0.000000E+00
  1.457286E+00   0.000000E+00
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
