#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   0.000000E+00
  3.015075E-02   5.153121E-04
  4.020101E-02   3.354476E-03
  5.025126E-02   8.652040E-03
  6.030151E-02   1.637993E-02
  7.035176E-02   2.650684E-02
  8.040201E-02   3.899832E-02
  9.045226E-02   5.381677E-02
  1.005025E-01   7.092157E-02
  1.105528E-01   9.026913E-02
  1.206030E-01   1.118129E-01
  1.306533E-01   1.355037E-01
  1.407035E-01   1.612894E-01
  1.507538E-01   1.891153E-01
  1.608040E-01   2.189245E-01
  1.708543E-01   2.506572E-01
  1.809045E-01   2.842517E-01
  1.909548E-01   3.196441E-01
  2.010050E-01   3.567682E-01
  2.110553E-01   3.955561E-01
  2.211055E-01   4.359380E-01
  2.311558E-01   4.778426E-01
  2.412060E-01   5.211970E-01
  2.512563E-01   5.659267E-01
  2.613065E-01   6.119562E-01
  2.713568E-01   6.592087E-01
  2.814070E-01   7.076065E-01
  2.914573E-01   7.570711E-01
  3.015075E-01   8.075230E-01
  3.115578E-01   8.588822E-01
  3.216080E-01   9.110685E-01
  3.316583E-01   9.640009E-01
  3.417085E-01   1.017598E+00
  3.517588E-01   1.071780E+00
  3.618090E-01   1.126464E+00
  3.718593E-01   1.181570E+00
  3.819095E-01   1.237017E+00
  3.919598E-01   1.292724E+00
  4.020101E-01   1.348611E+00
  4.120603E-01   1.404599E+00
  4.221106E-01   1.460608E+00
  4.321608E-01   1.516560E+00
  4.422111E-01   1.572378E+00
  4.522613E-01   1.627984E+00
  4.623116E-01   1.683304E+00
  4.723618E-01   1.738261E+00
  4.824121E-01   1.792783E+00
  4.924623E-01   1.846796E+00
  5.025126E-01   1.900230E+00
  5.125628E-01   1.953013E+00
  5.226131E-01   2.005077E+00
  5.326633E-01   2.056353E+00
  5.427136E-01   2.106777E+00
  5.527638E-01   2.156282E+00
  5.628141E-01   2.204805E+00
  5.728643E-01   2.252283E+00
  5.829146E-01   2.298657E+00
  5.929648E-01   2.343867E+00
  6.030151E-01   2.387855E+00
  6.130653E-01   2.430566E+00
  6.231156E-01   2.471945E+00
  6.331658E-01   2.511939E+00
  6.432161E-01   2.550497E+00
  6.532663E-01   2.587570E+00
  6.633166E-01   2.623108E+00
  6.733668E-01   2.657067E+00
  6.834171E-01   2.689401E+00
  6.934673E-01   2.720068E+00
  7.035176E-01   2.749026E+00
  7.135678E-01   2.776237E+00
  7.236181E-01   2.801661E+00
  7.336683E-01   2.825264E+00
  7.437186E-01   2.847012E+00
  7.537688E-01   2.866871E+00
  7.638191E-01   2.884811E+00
  7.738693E-01   2.900805E+00
  7.839196E-01   2.914824E+00
  7.939698E-01   2.926845E+00
  8.040201E-01   2.936844E+00
  8.140704E-01   2.944800E+00
  8.241206E-01   2.950694E+00
  8.341709E-01   2.954510E+00
  8.442211E-01   2.956233E+00
  8.542714E-01   2.955849E+00
  8.643216E-01   2.953349E+00
  8.743719E-01   2.948724E+00
  8.844221E-01   2.941967E+00
  8.944724E-01   2.933076E+00
  9.045226E-01   2.922049E+00
