#     kf [fm-1]   Gap Fit [MeV] 
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   5.557219E-05
  3.015075E-02   1.775972E-03
  4.020101E-02   5.881442E-03
  5.025126E-02   1.234091E-02
  6.030151E-02   2.112073E-02
  7.035176E-02   3.218469E-02
  8.040201E-02   4.549407E-02
  9.045226E-02   6.100767E-02
  1.005025E-01   7.868186E-02
  1.105528E-01   9.847065E-02
  1.206030E-01   1.203257E-01
  1.306533E-01   1.441964E-01
  1.407035E-01   1.700300E-01
  1.507538E-01   1.977715E-01
  1.608040E-01   2.273640E-01
  1.708543E-01   2.587484E-01
  1.809045E-01   2.918637E-01
  1.909548E-01   3.266474E-01
  2.010050E-01   3.630347E-01
  2.110553E-01   4.009595E-01
  2.211055E-01   4.403541E-01
  2.311558E-01   4.811491E-01
  2.412060E-01   5.232737E-01
  2.512563E-01   5.666560E-01
  2.613065E-01   6.112227E-01
  2.713568E-01   6.568994E-01
  2.814070E-01   7.036105E-01
  2.914573E-01   7.512798E-01
  3.015075E-01   7.998298E-01
  3.115578E-01   8.491825E-01
  3.216080E-01   8.992593E-01
  3.316583E-01   9.499808E-01
  3.417085E-01   1.001267E+00
  3.517588E-01   1.053039E+00
  3.618090E-01   1.105214E+00
  3.718593E-01   1.157713E+00
  3.819095E-01   1.210456E+00
  3.919598E-01   1.263360E+00
  4.020101E-01   1.316345E+00
  4.120603E-01   1.369331E+00
  4.221106E-01   1.422238E+00
  4.321608E-01   1.474985E+00
  4.422111E-01   1.527492E+00
  4.522613E-01   1.579681E+00
  4.623116E-01   1.631473E+00
  4.723618E-01   1.682790E+00
  4.824121E-01   1.733555E+00
  4.924623E-01   1.783691E+00
  5.025126E-01   1.833122E+00
  5.125628E-01   1.881775E+00
  5.226131E-01   1.929576E+00
  5.326633E-01   1.976452E+00
  5.427136E-01   2.022331E+00
  5.527638E-01   2.067144E+00
  5.628141E-01   2.110822E+00
  5.728643E-01   2.153298E+00
  5.829146E-01   2.194504E+00
  5.929648E-01   2.234378E+00
  6.030151E-01   2.272856E+00
  6.130653E-01   2.309877E+00
  6.231156E-01   2.345380E+00
  6.331658E-01   2.379309E+00
  6.432161E-01   2.411607E+00
  6.532663E-01   2.442220E+00
  6.633166E-01   2.471096E+00
  6.733668E-01   2.498184E+00
  6.834171E-01   2.523437E+00
  6.934673E-01   2.546809E+00
  7.035176E-01   2.568255E+00
  7.135678E-01   2.587735E+00
  7.236181E-01   2.605209E+00
  7.336683E-01   2.620641E+00
  7.437186E-01   2.633997E+00
  7.537688E-01   2.645244E+00
  7.638191E-01   2.654355E+00
  7.738693E-01   2.661302E+00
  7.839196E-01   2.666062E+00
  7.939698E-01   2.668615E+00
  8.040201E-01   2.668943E+00
  8.140704E-01   2.667031E+00
  8.241206E-01   2.662868E+00
  8.341709E-01   2.656445E+00
  8.442211E-01   2.647757E+00
  8.542714E-01   2.636802E+00
  8.643216E-01   2.623582E+00
  8.743719E-01   2.608101E+00
  8.844221E-01   2.590369E+00
  8.944724E-01   2.570397E+00
