#     kf [fm-1]   Gap Fit [MeV] 
  0.000000E+00   0.000000E+00
  1.005025E-02   1.180746E-03
  2.010050E-02   4.713472E-03
  3.015075E-02   1.057897E-02
  4.020101E-02   1.875153E-02
  5.025126E-02   2.919909E-02
  6.030151E-02   4.188338E-02
  7.035176E-02   5.676017E-02
  8.040201E-02   7.377950E-02
  9.045226E-02   9.288597E-02
  1.005025E-01   1.140191E-01
  1.105528E-01   1.371134E-01
  1.206030E-01   1.620994E-01
  1.306533E-01   1.889031E-01
  1.407035E-01   2.174471E-01
  1.507538E-01   2.476507E-01
  1.608040E-01   2.794305E-01
  1.708543E-01   3.127003E-01
  1.809045E-01   3.473723E-01
  1.909548E-01   3.833569E-01
  2.010050E-01   4.205633E-01
  2.110553E-01   4.588998E-01
  2.211055E-01   4.982745E-01
  2.311558E-01   5.385951E-01
  2.412060E-01   5.797698E-01
  2.512563E-01   6.217073E-01
  2.613065E-01   6.643171E-01
  2.713568E-01   7.075098E-01
  2.814070E-01   7.511977E-01
  2.914573E-01   7.952942E-01
  3.015075E-01   8.397151E-01
  3.115578E-01   8.843778E-01
  3.216080E-01   9.292019E-01
  3.316583E-01   9.741095E-01
  3.417085E-01   1.019025E+00
  3.517588E-01   1.063875E+00
  3.618090E-01   1.108589E+00
  3.718593E-01   1.153099E+00
  3.819095E-01   1.197341E+00
  3.919598E-01   1.241250E+00
  4.020101E-01   1.284767E+00
  4.120603E-01   1.327834E+00
  4.221106E-01   1.370398E+00
  4.321608E-01   1.412405E+00
  4.422111E-01   1.453805E+00
  4.522613E-01   1.494552E+00
  4.623116E-01   1.534600E+00
  4.723618E-01   1.573907E+00
  4.824121E-01   1.612432E+00
  4.924623E-01   1.650137E+00
  5.025126E-01   1.686985E+00
  5.125628E-01   1.722943E+00
  5.226131E-01   1.757976E+00
  5.326633E-01   1.792055E+00
  5.427136E-01   1.825151E+00
  5.527638E-01   1.857235E+00
  5.628141E-01   1.888281E+00
  5.728643E-01   1.918264E+00
  5.829146E-01   1.947161E+00
  5.929648E-01   1.974949E+00
  6.030151E-01   2.001606E+00
  6.130653E-01   2.027112E+00
  6.231156E-01   2.051446E+00
  6.331658E-01   2.074590E+00
  6.432161E-01   2.096526E+00
  6.532663E-01   2.117235E+00
  6.633166E-01   2.136700E+00
  6.733668E-01   2.154905E+00
  6.834171E-01   2.171834E+00
  6.934673E-01   2.187469E+00
  7.035176E-01   2.201796E+00
  7.135678E-01   2.214799E+00
  7.236181E-01   2.226461E+00
  7.336683E-01   2.236769E+00
  7.437186E-01   2.245707E+00
  7.537688E-01   2.253259E+00
  7.638191E-01   2.259411E+00
  7.738693E-01   2.264146E+00
  7.839196E-01   2.267451E+00
  7.939698E-01   2.269310E+00
  8.040201E-01   2.269707E+00
  8.140704E-01   2.268628E+00
  8.241206E-01   2.266057E+00
  8.341709E-01   2.261979E+00
  8.442211E-01   2.256379E+00
  8.542714E-01   2.249243E+00
  8.643216E-01   2.240554E+00
  8.743719E-01   2.230299E+00
  8.844221E-01   2.218464E+00
  8.944724E-01   2.205034E+00
  9.045226E-01   2.189997E+00
  9.145729E-01   2.173339E+00
  9.246231E-01   2.155050E+00
  9.346734E-01   2.135118E+00
  9.447236E-01   2.113533E+00
  9.547739E-01   2.090288E+00
  9.648241E-01   2.065374E+00
  9.748744E-01   2.038788E+00
  9.849246E-01   2.010526E+00
  9.949749E-01   1.980587E+00
  1.005025E+00   1.948973E+00
  1.015075E+00   1.915689E+00
  1.025126E+00   1.880743E+00
  1.035176E+00   1.844146E+00
  1.045226E+00   1.805914E+00
  1.055276E+00   1.766068E+00
  1.065327E+00   1.724631E+00
  1.075377E+00   1.681636E+00
  1.085427E+00   1.637117E+00
  1.095477E+00   1.591117E+00
  1.105528E+00   1.543685E+00
  1.115578E+00   1.494878E+00
  1.125628E+00   1.444760E+00
  1.135678E+00   1.393404E+00
  1.145729E+00   1.340889E+00
  1.155779E+00   1.287308E+00
  1.165829E+00   1.232760E+00
  1.175879E+00   1.177354E+00
  1.185930E+00   1.121211E+00
  1.195980E+00   1.064462E+00
  1.206030E+00   1.007249E+00
  1.216080E+00   9.497222E-01
  1.226131E+00   8.920462E-01
  1.236181E+00   8.343941E-01
  1.246231E+00   7.769497E-01
  1.256281E+00   7.199066E-01
  1.266332E+00   6.634678E-01
  1.276382E+00   6.078445E-01
  1.286432E+00   5.532555E-01
  1.296482E+00   4.999261E-01
  1.306533E+00   4.480864E-01
  1.316583E+00   3.979702E-01
  1.326633E+00   3.498132E-01
  1.336683E+00   3.038512E-01
  1.346734E+00   2.603179E-01
  1.356784E+00   2.194434E-01
  1.366834E+00   1.814515E-01
  1.376884E+00   1.465579E-01
  1.386935E+00   1.149677E-01
  1.396985E+00   8.687342E-02
  1.407035E+00   6.245279E-02
  1.417085E+00   4.186679E-02
  1.427136E+00   2.525781E-02
  1.437186E+00   1.274797E-02
  1.447236E+00   4.437765E-03
  1.457286E+00   4.048262E-04
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
  1.889447E+00   0.000000E+00
  1.899497E+00   0.000000E+00
  1.909548E+00   0.000000E+00
  1.919598E+00   0.000000E+00
  1.929648E+00   0.000000E+00
  1.939698E+00   0.000000E+00
  1.949749E+00   0.000000E+00
  1.959799E+00   0.000000E+00
  1.969849E+00   0.000000E+00
  1.979899E+00   0.000000E+00
  1.989950E+00   0.000000E+00
  2.000000E+00   0.000000E+00
