#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   3.302533E-04
  2.010050E-02   1.317946E-03
  3.015075E-02   2.958010E-03
  4.020101E-02   5.244753E-03
  5.025126E-02   8.171862E-03
  6.030151E-02   1.173241E-02
  7.035176E-02   1.591884E-02
  8.040201E-02   2.072301E-02
  9.045226E-02   2.613615E-02
  1.005025E-01   3.214890E-02
  1.105528E-01   3.875133E-02
  1.206030E-01   4.593288E-02
  1.306533E-01   5.368247E-02
  1.407035E-01   6.198841E-02
  1.507538E-01   7.083847E-02
  1.608040E-01   8.021989E-02
  1.708543E-01   9.011936E-02
  1.809045E-01   1.005230E-01
  1.909548E-01   1.114166E-01
  2.010050E-01   1.227852E-01
  2.110553E-01   1.346135E-01
  2.211055E-01   1.468857E-01
  2.311558E-01   1.595855E-01
  2.412060E-01   1.726963E-01
  2.512563E-01   1.862009E-01
  2.613065E-01   2.000818E-01
  2.713568E-01   2.143210E-01
  2.814070E-01   2.289001E-01
  2.914573E-01   2.438005E-01
  3.015075E-01   2.590030E-01
  3.115578E-01   2.744883E-01
  3.216080E-01   2.902364E-01
  3.316583E-01   3.062275E-01
  3.417085E-01   3.224410E-01
  3.517588E-01   3.388563E-01
  3.618090E-01   3.554524E-01
  3.718593E-01   3.722081E-01
  3.819095E-01   3.891018E-01
  3.919598E-01   4.061119E-01
  4.020101E-01   4.232165E-01
  4.120603E-01   4.403932E-01
  4.221106E-01   4.576198E-01
  4.321608E-01   4.748736E-01
  4.422111E-01   4.921319E-01
  4.522613E-01   5.093717E-01
  4.623116E-01   5.265699E-01
  4.723618E-01   5.437034E-01
  4.824121E-01   5.607485E-01
  4.924623E-01   5.776819E-01
  5.025126E-01   5.944799E-01
  5.125628E-01   6.111187E-01
  5.226131E-01   6.275743E-01
  5.326633E-01   6.438229E-01
  5.427136E-01   6.598404E-01
  5.527638E-01   6.756025E-01
  5.628141E-01   6.910852E-01
  5.728643E-01   7.062640E-01
  5.829146E-01   7.211149E-01
  5.929648E-01   7.356133E-01
  6.030151E-01   7.497349E-01
  6.130653E-01   7.634553E-01
  6.231156E-01   7.767503E-01
  6.331658E-01   7.895953E-01
  6.432161E-01   8.019662E-01
  6.532663E-01   8.138387E-01
  6.633166E-01   8.251885E-01
  6.733668E-01   8.359917E-01
  6.834171E-01   8.462242E-01
  6.934673E-01   8.558622E-01
  7.035176E-01   8.648821E-01
  7.135678E-01   8.732605E-01
  7.236181E-01   8.809742E-01
  7.336683E-01   8.880003E-01
  7.437186E-01   8.943161E-01
  7.537688E-01   8.998995E-01
  7.638191E-01   9.047286E-01
  7.738693E-01   9.087821E-01
  7.839196E-01   9.120392E-01
  7.939698E-01   9.144798E-01
  8.040201E-01   9.160841E-01
  8.140704E-01   9.168335E-01
  8.241206E-01   9.167098E-01
  8.341709E-01   9.156961E-01
  8.442211E-01   9.137763E-01
  8.542714E-01   9.109353E-01
  8.643216E-01   9.071594E-01
  8.743719E-01   9.024361E-01
  8.844221E-01   8.967544E-01
  8.944724E-01   8.901049E-01
  9.045226E-01   8.824799E-01
  9.145729E-01   8.738735E-01
  9.246231E-01   8.642819E-01
  9.346734E-01   8.537034E-01
  9.447236E-01   8.421387E-01
  9.547739E-01   8.295909E-01
  9.648241E-01   8.160658E-01
  9.748744E-01   8.015722E-01
  9.849246E-01   7.861217E-01
  9.949749E-01   7.697293E-01
  1.005025E+00   7.524133E-01
  1.015075E+00   7.341957E-01
  1.025126E+00   7.151021E-01
  1.035176E+00   6.951622E-01
  1.045226E+00   6.744097E-01
  1.055276E+00   6.528825E-01
  1.065327E+00   6.306231E-01
  1.075377E+00   6.076783E-01
  1.085427E+00   5.840996E-01
  1.095477E+00   5.599434E-01
  1.105528E+00   5.352706E-01
  1.115578E+00   5.101469E-01
  1.125628E+00   4.846431E-01
  1.135678E+00   4.588344E-01
  1.145729E+00   4.328009E-01
  1.155779E+00   4.066270E-01
  1.165829E+00   3.804017E-01
  1.175879E+00   3.542181E-01
  1.185930E+00   3.281731E-01
  1.195980E+00   3.023671E-01
  1.206030E+00   2.769038E-01
  1.216080E+00   2.518897E-01
  1.226131E+00   2.274335E-01
  1.236181E+00   2.036455E-01
  1.246231E+00   1.806376E-01
  1.256281E+00   1.585218E-01
  1.266332E+00   1.374103E-01
  1.276382E+00   1.174144E-01
  1.286432E+00   9.864403E-02
  1.296482E+00   8.120685E-02
  1.306533E+00   6.520759E-02
  1.316583E+00   5.074732E-02
  1.326633E+00   3.792271E-02
  1.336683E+00   2.682536E-02
  1.346734E+00   1.754107E-02
  1.356784E+00   1.014924E-02
  1.366834E+00   4.722295E-03
  1.376884E+00   1.325128E-03
  1.386935E+00   1.464750E-05
  1.396985E+00   0.000000E+00
  1.407035E+00   0.000000E+00
  1.417085E+00   0.000000E+00
  1.427136E+00   0.000000E+00
  1.437186E+00   0.000000E+00
  1.447236E+00   0.000000E+00
  1.457286E+00   0.000000E+00
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
  1.889447E+00   0.000000E+00
  1.899497E+00   0.000000E+00
  1.909548E+00   0.000000E+00
  1.919598E+00   0.000000E+00
  1.929648E+00   0.000000E+00
  1.939698E+00   0.000000E+00
  1.949749E+00   0.000000E+00
  1.959799E+00   0.000000E+00
  1.969849E+00   0.000000E+00
  1.979899E+00   0.000000E+00
  1.989950E+00   0.000000E+00
  2.000000E+00   0.000000E+00
