#     kf [fm-1]   Tc Fit [MeV]  
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   2.103835E-04
  3.015075E-02   1.626325E-03
  4.020101E-02   4.365847E-03
  5.025126E-02   8.415414E-03
  6.030151E-02   1.375958E-02
  7.035176E-02   2.038100E-02
  8.040201E-02   2.826047E-02
  9.045226E-02   3.737698E-02
  1.005025E-01   4.770769E-02
  1.105528E-01   5.922804E-02
  1.206030E-01   7.191177E-02
  1.306533E-01   8.573095E-02
  1.407035E-01   1.006561E-01
  1.507538E-01   1.166561E-01
  1.608040E-01   1.336985E-01
  1.708543E-01   1.517494E-01
  1.809045E-01   1.707734E-01
  1.909548E-01   1.907341E-01
  2.010050E-01   2.115936E-01
  2.110553E-01   2.333131E-01
  2.211055E-01   2.558527E-01
  2.311558E-01   2.791713E-01
  2.412060E-01   3.032272E-01
  2.512563E-01   3.279778E-01
  2.613065E-01   3.533794E-01
  2.713568E-01   3.793881E-01
  2.814070E-01   4.059591E-01
  2.914573E-01   4.330472E-01
  3.015075E-01   4.606064E-01
  3.115578E-01   4.885908E-01
  3.216080E-01   5.169539E-01
  3.316583E-01   5.456488E-01
  3.417085E-01   5.746286E-01
  3.517588E-01   6.038463E-01
  3.618090E-01   6.332547E-01
  3.718593E-01   6.628065E-01
  3.819095E-01   6.924545E-01
  3.919598E-01   7.221517E-01
  4.020101E-01   7.518512E-01
  4.120603E-01   7.815060E-01
  4.221106E-01   8.110697E-01
  4.321608E-01   8.404959E-01
  4.422111E-01   8.697386E-01
  4.522613E-01   8.987521E-01
  4.623116E-01   9.274912E-01
  4.723618E-01   9.559108E-01
  4.824121E-01   9.839665E-01
  4.924623E-01   1.011614E+00
  5.025126E-01   1.038811E+00
  5.125628E-01   1.065512E+00
  5.226131E-01   1.091677E+00
  5.326633E-01   1.117263E+00
  5.427136E-01   1.142228E+00
  5.527638E-01   1.166532E+00
  5.628141E-01   1.190134E+00
  5.728643E-01   1.212996E+00
  5.829146E-01   1.235077E+00
  5.929648E-01   1.256339E+00
  6.030151E-01   1.276746E+00
  6.130653E-01   1.296260E+00
  6.231156E-01   1.314844E+00
  6.331658E-01   1.332464E+00
  6.432161E-01   1.349084E+00
  6.532663E-01   1.364671E+00
  6.633166E-01   1.379191E+00
  6.733668E-01   1.392613E+00
  6.834171E-01   1.404903E+00
  6.934673E-01   1.416033E+00
  7.035176E-01   1.425973E+00
  7.135678E-01   1.434694E+00
  7.236181E-01   1.442168E+00
  7.336683E-01   1.448369E+00
  7.437186E-01   1.453272E+00
  7.537688E-01   1.456853E+00
  7.638191E-01   1.459090E+00
  7.738693E-01   1.459960E+00
  7.839196E-01   1.459444E+00
  7.939698E-01   1.457525E+00
  8.040201E-01   1.454185E+00
  8.140704E-01   1.449409E+00
  8.241206E-01   1.443185E+00
  8.341709E-01   1.435503E+00
  8.442211E-01   1.426352E+00
  8.542714E-01   1.415728E+00
  8.643216E-01   1.403626E+00
  8.743719E-01   1.390045E+00
  8.844221E-01   1.374986E+00
  8.944724E-01   1.358454E+00
