#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   3.652786E-05
  2.010050E-02   2.400442E-04
  3.015075E-02   7.173391E-04
  4.020101E-02   1.552417E-03
  5.025126E-02   2.814965E-03
  6.030151E-02   4.563807E-03
  7.035176E-02   6.848854E-03
  8.040201E-02   9.712394E-03
  9.045226E-02   1.319001E-02
  1.005025E-01   1.731128E-02
  1.105528E-01   2.210037E-02
  1.206030E-01   2.757643E-02
  1.306533E-01   3.375406E-02
  1.407035E-01   4.064361E-02
  1.507538E-01   4.825147E-02
  1.608040E-01   5.658036E-02
  1.708543E-01   6.562956E-02
  1.809045E-01   7.539510E-02
  1.909548E-01   8.587003E-02
  2.010050E-01   9.704453E-02
  2.110553E-01   1.089061E-01
  2.211055E-01   1.214398E-01
  2.311558E-01   1.346283E-01
  2.412060E-01   1.484521E-01
  2.512563E-01   1.628895E-01
  2.613065E-01   1.779171E-01
  2.713568E-01   1.935094E-01
  2.814070E-01   2.096396E-01
  2.914573E-01   2.262789E-01
  3.015075E-01   2.433974E-01
  3.115578E-01   2.609636E-01
  3.216080E-01   2.789448E-01
  3.316583E-01   2.973073E-01
  3.417085E-01   3.160162E-01
  3.517588E-01   3.350357E-01
  3.618090E-01   3.543292E-01
  3.718593E-01   3.738592E-01
  3.819095E-01   3.935876E-01
  3.919598E-01   4.134758E-01
  4.020101E-01   4.334844E-01
  4.120603E-01   4.535740E-01
  4.221106E-01   4.737046E-01
  4.321608E-01   4.938358E-01
  4.422111E-01   5.139273E-01
  4.522613E-01   5.339386E-01
  4.623116E-01   5.538290E-01
  4.723618E-01   5.735582E-01
  4.824121E-01   5.930857E-01
  4.924623E-01   6.123712E-01
  5.025126E-01   6.313749E-01
  5.125628E-01   6.500571E-01
  5.226131E-01   6.683785E-01
  5.326633E-01   6.863005E-01
  5.427136E-01   7.037847E-01
  5.527638E-01   7.207935E-01
  5.628141E-01   7.372899E-01
  5.728643E-01   7.532378E-01
  5.829146E-01   7.686015E-01
  5.929648E-01   7.833465E-01
  6.030151E-01   7.974391E-01
  6.130653E-01   8.108466E-01
  6.231156E-01   8.235372E-01
  6.331658E-01   8.354803E-01
  6.432161E-01   8.466465E-01
  6.532663E-01   8.570075E-01
  6.633166E-01   8.665364E-01
  6.733668E-01   8.752074E-01
  6.834171E-01   8.829964E-01
  6.934673E-01   8.898803E-01
  7.035176E-01   8.958380E-01
  7.135678E-01   9.008495E-01
  7.236181E-01   9.048967E-01
  7.336683E-01   9.079630E-01
  7.437186E-01   9.100336E-01
  7.537688E-01   9.110952E-01
  7.638191E-01   9.111367E-01
  7.738693E-01   9.101486E-01
  7.839196E-01   9.081233E-01
  7.939698E-01   9.050552E-01
  8.040201E-01   9.009409E-01
  8.140704E-01   8.957787E-01
  8.241206E-01   8.895692E-01
  8.341709E-01   8.823152E-01
  8.442211E-01   8.740217E-01
  8.542714E-01   8.646957E-01
  8.643216E-01   8.543467E-01
  8.743719E-01   8.429865E-01
  8.844221E-01   8.306293E-01
  8.944724E-01   8.172916E-01
  9.045226E-01   8.029926E-01
  9.145729E-01   7.877537E-01
  9.246231E-01   7.715990E-01
  9.346734E-01   7.545553E-01
  9.447236E-01   7.366518E-01
  9.547739E-01   7.179206E-01
  9.648241E-01   6.983962E-01
  9.748744E-01   6.781162E-01
  9.849246E-01   6.571207E-01
  9.949749E-01   6.354527E-01
  1.005025E+00   6.131582E-01
  1.015075E+00   5.902858E-01
  1.025126E+00   5.668872E-01
  1.035176E+00   5.430170E-01
  1.045226E+00   5.187329E-01
  1.055276E+00   4.940953E-01
  1.065327E+00   4.691678E-01
  1.075377E+00   4.440172E-01
  1.085427E+00   4.187132E-01
  1.095477E+00   3.933285E-01
  1.105528E+00   3.679392E-01
  1.115578E+00   3.426242E-01
  1.125628E+00   3.174657E-01
  1.135678E+00   2.925491E-01
  1.145729E+00   2.679627E-01
  1.155779E+00   2.437983E-01
  1.165829E+00   2.201505E-01
  1.175879E+00   1.971170E-01
  1.185930E+00   1.747989E-01
  1.195980E+00   1.532999E-01
  1.206030E+00   1.327269E-01
  1.216080E+00   1.131897E-01
  1.226131E+00   9.480077E-02
  1.236181E+00   7.767527E-02
  1.246231E+00   6.193076E-02
  1.256281E+00   4.768692E-02
  1.266332E+00   3.506522E-02
  1.276382E+00   2.418825E-02
  1.286432E+00   1.517884E-02
  1.296482E+00   8.158486E-03
  1.306533E+00   3.244236E-03
  1.316583E+00   5.410656E-04
  1.326633E+00   0.000000E+00
  1.336683E+00   0.000000E+00
  1.346734E+00   0.000000E+00
  1.356784E+00   0.000000E+00
  1.366834E+00   0.000000E+00
  1.376884E+00   0.000000E+00
  1.386935E+00   0.000000E+00
  1.396985E+00   0.000000E+00
  1.407035E+00   0.000000E+00
  1.417085E+00   0.000000E+00
  1.427136E+00   0.000000E+00
  1.437186E+00   0.000000E+00
  1.447236E+00   0.000000E+00
  1.457286E+00   0.000000E+00
  1.467337E+00   0.000000E+00
  1.477387E+00   0.000000E+00
  1.487437E+00   0.000000E+00
  1.497487E+00   0.000000E+00
  1.507538E+00   0.000000E+00
  1.517588E+00   0.000000E+00
  1.527638E+00   0.000000E+00
  1.537688E+00   0.000000E+00
  1.547739E+00   0.000000E+00
  1.557789E+00   0.000000E+00
  1.567839E+00   0.000000E+00
  1.577889E+00   0.000000E+00
  1.587940E+00   0.000000E+00
  1.597990E+00   0.000000E+00
  1.608040E+00   0.000000E+00
  1.618090E+00   0.000000E+00
  1.628141E+00   0.000000E+00
  1.638191E+00   0.000000E+00
  1.648241E+00   0.000000E+00
  1.658291E+00   0.000000E+00
  1.668342E+00   0.000000E+00
  1.678392E+00   0.000000E+00
  1.688442E+00   0.000000E+00
  1.698492E+00   0.000000E+00
  1.708543E+00   0.000000E+00
  1.718593E+00   0.000000E+00
  1.728643E+00   0.000000E+00
  1.738693E+00   0.000000E+00
  1.748744E+00   0.000000E+00
  1.758794E+00   0.000000E+00
  1.768844E+00   0.000000E+00
  1.778894E+00   0.000000E+00
  1.788945E+00   0.000000E+00
  1.798995E+00   0.000000E+00
  1.809045E+00   0.000000E+00
  1.819095E+00   0.000000E+00
  1.829146E+00   0.000000E+00
  1.839196E+00   0.000000E+00
  1.849246E+00   0.000000E+00
  1.859296E+00   0.000000E+00
  1.869347E+00   0.000000E+00
  1.879397E+00   0.000000E+00
  1.889447E+00   0.000000E+00
  1.899497E+00   0.000000E+00
  1.909548E+00   0.000000E+00
  1.919598E+00   0.000000E+00
  1.929648E+00   0.000000E+00
  1.939698E+00   0.000000E+00
  1.949749E+00   0.000000E+00
  1.959799E+00   0.000000E+00
  1.969849E+00   0.000000E+00
  1.979899E+00   0.000000E+00
  1.989950E+00   0.000000E+00
  2.000000E+00   0.000000E+00
