#     kf [fm-1]   gap           
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   0.000000E+00
  3.015075E-02   0.000000E+00
  4.020101E-02   1.037953E-04
  5.025126E-02   1.437405E-03
  6.030151E-02   4.299157E-03
  7.035176E-02   8.674713E-03
  8.040201E-02   1.454663E-02
  9.045226E-02   2.189444E-02
  1.005025E-01   3.069467E-02
  1.105528E-01   4.092100E-02
  1.206030E-01   5.254428E-02
  1.306533E-01   6.553272E-02
  1.407035E-01   7.985194E-02
  1.507538E-01   9.546516E-02
  1.608040E-01   1.123333E-01
  1.708543E-01   1.304150E-01
  1.809045E-01   1.496672E-01
  1.909548E-01   1.700447E-01
  2.010050E-01   1.915008E-01
  2.110553E-01   2.139872E-01
  2.211055E-01   2.374543E-01
  2.311558E-01   2.618513E-01
  2.412060E-01   2.871264E-01
  2.512563E-01   3.132269E-01
  2.613065E-01   3.400994E-01
  2.713568E-01   3.676900E-01
  2.814070E-01   3.959445E-01
  2.914573E-01   4.248084E-01
  3.015075E-01   4.542271E-01
  3.115578E-01   4.841460E-01
  3.216080E-01   5.145108E-01
  3.316583E-01   5.452675E-01
  3.417085E-01   5.763624E-01
  3.517588E-01   6.077426E-01
  3.618090E-01   6.393555E-01
  3.718593E-01   6.711495E-01
  3.819095E-01   7.030737E-01
  3.919598E-01   7.350781E-01
  4.020101E-01   7.671137E-01
  4.120603E-01   7.991324E-01
  4.221106E-01   8.310873E-01
  4.321608E-01   8.629326E-01
  4.422111E-01   8.946236E-01
  4.522613E-01   9.261168E-01
  4.623116E-01   9.573700E-01
  4.723618E-01   9.883421E-01
  4.824121E-01   1.018993E+00
  4.924623E-01   1.049285E+00
  5.025126E-01   1.079180E+00
  5.125628E-01   1.108642E+00
  5.226131E-01   1.137637E+00
  5.326633E-01   1.166130E+00
  5.427136E-01   1.194089E+00
  5.527638E-01   1.221484E+00
  5.628141E-01   1.248283E+00
  5.728643E-01   1.274459E+00
  5.829146E-01   1.299982E+00
  5.929648E-01   1.324827E+00
  6.030151E-01   1.348968E+00
  6.130653E-01   1.372379E+00
  6.231156E-01   1.395038E+00
  6.331658E-01   1.416922E+00
  6.432161E-01   1.438008E+00
  6.532663E-01   1.458275E+00
  6.633166E-01   1.477704E+00
  6.733668E-01   1.496276E+00
  6.834171E-01   1.513971E+00
  6.934673E-01   1.530771E+00
  7.035176E-01   1.546661E+00
  7.135678E-01   1.561623E+00
  7.236181E-01   1.575641E+00
  7.336683E-01   1.588702E+00
  7.437186E-01   1.600789E+00
  7.537688E-01   1.611890E+00
  7.638191E-01   1.621991E+00
  7.738693E-01   1.631079E+00
  7.839196E-01   1.639142E+00
  7.939698E-01   1.646169E+00
  8.040201E-01   1.652148E+00
  8.140704E-01   1.657069E+00
  8.241206E-01   1.660922E+00
  8.341709E-01   1.663698E+00
  8.442211E-01   1.665386E+00
  8.542714E-01   1.665980E+00
  8.643216E-01   1.665471E+00
  8.743719E-01   1.663852E+00
  8.844221E-01   1.661116E+00
  8.944724E-01   1.657257E+00
  9.045226E-01   1.652269E+00
