#     kf [fm-1]   Tc Fit [MeV]  
  0.000000E+00   0.000000E+00
  1.005025E-02   0.000000E+00
  2.010050E-02   0.000000E+00
  3.015075E-02   4.618455E-04
  4.020101E-02   2.308259E-03
  5.025126E-02   5.551792E-03
  6.030151E-02   1.017625E-02
  7.035176E-02   1.616315E-02
  8.040201E-02   2.349176E-02
  9.045226E-02   3.213913E-02
  1.005025E-01   4.208018E-02
  1.105528E-01   5.328775E-02
  1.206030E-01   6.573265E-02
  1.306533E-01   7.938376E-02
  1.407035E-01   9.420809E-02
  1.507538E-01   1.101709E-01
  1.608040E-01   1.272357E-01
  1.708543E-01   1.453645E-01
  1.809045E-01   1.645178E-01
  1.909548E-01   1.846547E-01
  2.010050E-01   2.057329E-01
  2.110553E-01   2.277091E-01
  2.211055E-01   2.505388E-01
  2.311558E-01   2.741765E-01
  2.412060E-01   2.985760E-01
  2.512563E-01   3.236902E-01
  2.613065E-01   3.494714E-01
  2.713568E-01   3.758712E-01
  2.814070E-01   4.028410E-01
  2.914573E-01   4.303317E-01
  3.015075E-01   4.582941E-01
  3.115578E-01   4.866785E-01
  3.216080E-01   5.154355E-01
  3.316583E-01   5.445156E-01
  3.417085E-01   5.738693E-01
  3.517588E-01   6.034475E-01
  3.618090E-01   6.332012E-01
  3.718593E-01   6.630819E-01
  3.819095E-01   6.930412E-01
  3.919598E-01   7.230315E-01
  4.020101E-01   7.530056E-01
  4.120603E-01   7.829169E-01
  4.221106E-01   8.127194E-01
  4.321608E-01   8.423679E-01
  4.422111E-01   8.718177E-01
  4.522613E-01   9.010251E-01
  4.623116E-01   9.299472E-01
  4.723618E-01   9.585416E-01
  4.824121E-01   9.867672E-01
  4.924623E-01   1.014584E+00
  5.025126E-01   1.041951E+00
  5.125628E-01   1.068831E+00
  5.226131E-01   1.095186E+00
  5.326633E-01   1.120980E+00
  5.427136E-01   1.146176E+00
  5.527638E-01   1.170739E+00
  5.628141E-01   1.194637E+00
  5.728643E-01   1.217835E+00
  5.829146E-01   1.240302E+00
  5.929648E-01   1.262008E+00
  6.030151E-01   1.282922E+00
  6.130653E-01   1.303015E+00
  6.231156E-01   1.322260E+00
  6.331658E-01   1.340629E+00
  6.432161E-01   1.358096E+00
  6.532663E-01   1.374637E+00
  6.633166E-01   1.390226E+00
  6.733668E-01   1.404842E+00
  6.834171E-01   1.418462E+00
  6.934673E-01   1.431064E+00
  7.035176E-01   1.442628E+00
  7.135678E-01   1.453136E+00
  7.236181E-01   1.462570E+00
  7.336683E-01   1.470911E+00
  7.437186E-01   1.478143E+00
  7.537688E-01   1.484252E+00
  7.638191E-01   1.489224E+00
  7.738693E-01   1.493045E+00
  7.839196E-01   1.495703E+00
  7.939698E-01   1.497188E+00
  8.040201E-01   1.497490E+00
  8.140704E-01   1.496601E+00
  8.241206E-01   1.494512E+00
  8.341709E-01   1.491218E+00
  8.442211E-01   1.486715E+00
  8.542714E-01   1.480998E+00
  8.643216E-01   1.474066E+00
  8.743719E-01   1.465918E+00
  8.844221E-01   1.456555E+00
  8.944724E-01   1.445980E+00
