#     kf [fm-1]   Tc Fit [MeV]  
  0.000000E+00   0.000000E+00
  1.005025E-02   4.350756E-04
  2.010050E-02   1.737466E-03
  3.015075E-02   3.901396E-03
  4.020101E-02   6.919078E-03
  5.025126E-02   1.078075E-02
  6.030151E-02   1.547471E-02
  7.035176E-02   2.098740E-02
  8.040201E-02   2.730340E-02
  9.045226E-02   3.440559E-02
  1.005025E-01   4.227516E-02
  1.105528E-01   5.089173E-02
  1.206030E-01   6.023344E-02
  1.306533E-01   7.027703E-02
  1.407035E-01   8.099800E-02
  1.507538E-01   9.237063E-02
  1.608040E-01   1.043682E-01
  1.708543E-01   1.169629E-01
  1.809045E-01   1.301263E-01
  1.909548E-01   1.438291E-01
  2.010050E-01   1.580415E-01
  2.110553E-01   1.727331E-01
  2.211055E-01   1.878731E-01
  2.311558E-01   2.034306E-01
  2.412060E-01   2.193743E-01
  2.512563E-01   2.356729E-01
  2.613065E-01   2.522953E-01
  2.713568E-01   2.692103E-01
  2.814070E-01   2.863869E-01
  2.914573E-01   3.037944E-01
  3.015075E-01   3.214025E-01
  3.115578E-01   3.391813E-01
  3.216080E-01   3.571012E-01
  3.316583E-01   3.751334E-01
  3.417085E-01   3.932493E-01
  3.517588E-01   4.114213E-01
  3.618090E-01   4.296222E-01
  3.718593E-01   4.478254E-01
  3.819095E-01   4.660052E-01
  3.919598E-01   4.841366E-01
  4.020101E-01   5.021951E-01
  4.120603E-01   5.201572E-01
  4.221106E-01   5.380000E-01
  4.321608E-01   5.557012E-01
  4.422111E-01   5.732395E-01
  4.522613E-01   5.905941E-01
  4.623116E-01   6.077451E-01
  4.723618E-01   6.246731E-01
  4.824121E-01   6.413595E-01
  4.924623E-01   6.577863E-01
  5.025126E-01   6.739361E-01
  5.125628E-01   6.897921E-01
  5.226131E-01   7.053381E-01
  5.326633E-01   7.205585E-01
  5.427136E-01   7.354381E-01
  5.527638E-01   7.499623E-01
  5.628141E-01   7.641168E-01
  5.728643E-01   7.778878E-01
  5.829146E-01   7.912618E-01
  5.929648E-01   8.042259E-01
  6.030151E-01   8.167671E-01
  6.130653E-01   8.288731E-01
  6.231156E-01   8.405314E-01
  6.331658E-01   8.517302E-01
  6.432161E-01   8.624573E-01
  6.532663E-01   8.727012E-01
